sample_id	run_accession	genotype	region	replicate	layout
LD_ZBED6_KO_1	SRR31045393	KO	LD	1	PE
LD_ZBED6_KO_2	SRR31045394	KO	LD	2	PE
LD_ZBED6_KO_3	SRR31045395	KO	LD	3	PE
LD_WT_1	SRR31045390	WT	LD	1	PE
LD_WT_2	SRR31045391	WT	LD	2	PE
LD_WT_3	SRR31045392	WT	LD	3	PE
PMM_ZBED6_KO_1	SRR31045400	KO	PMM	1	PE
PMM_ZBED6_KO_2	SRR31045401	KO	PMM	2	PE
PMM_ZBED6_KO_3	SRR31045402	KO	PMM	3	PE
PMM_WT_1	SRR31045397	WT	PMM	1	PE
PMM_WT_2	SRR31045398	WT	PMM	2	PE
PMM_WT_3	SRR31045399	WT	PMM	3	PE
RA_ZBED6_KO_1	SRR31045422	KO	RA	1	PE
RA_ZBED6_KO_2	SRR31045424	KO	RA	2	PE
RA_ZBED6_KO_3	SRR31045425	KO	RA	3	PE
RA_WT_1	SRR31045403	WT	RA	1	PE
RA_WT_2	SRR31045420	WT	RA	2	PE
RA_WT_3	SRR31045421	WT	RA	3	PE
