Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group1,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue
SRR31045382,not collected,RNA-Seq,300,6739299900,PRJNA1174889,SAMN44349953,Model organism or animal,Bama,4412158571,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",not collected,not collected,SRX26429982,China,Asia,China: Chengdu,10,DNBSEQ-T7,not collected,TA_WT_3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:04:00Z,1,TA_WT_3,male,SRP539507,not collected,TA
SRR31045383,not collected,RNA-Seq,300,6006828300,PRJNA1174889,SAMN44349952,Model organism or animal,Bama,3964755840,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not collected,not collected,SRX26429981,China,Asia,China: Chengdu,9,DNBSEQ-T7,not collected,TA_ZBED6_KO_1,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:04:00Z,1,TA_ZBED6_KO_1,male,SRP539507,not collected,TA
SRR31045384,not collected,RNA-Seq,300,6851992200,PRJNA1174889,SAMN44349951,Model organism or animal,Bama,4507054976,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",not collected,not collected,SRX26429980,China,Asia,China: Chengdu,8,DNBSEQ-T7,not collected,TA_ZBED6_KO_2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:05:00Z,1,TA_ZBED6_KO_2,male,SRP539507,not collected,TA
SRR31045385,not collected,RNA-Seq,300,6779579100,PRJNA1174889,SAMN44349950,Model organism or animal,Bama,4432239438,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",not collected,not collected,SRX26429979,China,Asia,China: Chengdu,7,DNBSEQ-T7,not collected,TA_ZBED6_KO_3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:08:00Z,1,TA_ZBED6_KO_3,male,SRP539507,not collected,TA
SRR31045386,not collected,RNA-Seq,300,6810455700,PRJNA1174889,SAMN44349997,Model organism or animal,Bama,4454447355,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not collected,not collected,SRX26429978,China,Asia,China: Chengdu,54,DNBSEQ-T7,not collected,BIP_WT_1,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:05:00Z,1,BIP_WT_1,male,SRP539507,not collected,BIP
SRR31045387,not collected,RNA-Seq,300,6924410400,PRJNA1174889,SAMN44349996,Model organism or animal,Bama,4517863364,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not collected,not collected,SRX26429977,China,Asia,China: Chengdu,53,DNBSEQ-T7,not collected,BIP_WT_2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:05:00Z,1,BIP_WT_2,male,SRP539507,not collected,BIP
SRR31045388,not collected,RNA-Seq,300,5913246600,PRJNA1174889,SAMN44349981,Model organism or animal,Bama,3853862108,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not collected,not collected,SRX26429976,China,Asia,China: Chengdu,38,DNBSEQ-T7,not collected,GAS_ZBED6_KO_2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:07:00Z,1,GAS_ZBED6_KO_2,male,SRP539507,not collected,GAS
SRR31045389,not collected,RNA-Seq,300,6610049400,PRJNA1174889,SAMN44349980,Model organism or animal,Bama,4291028847,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not collected,not collected,SRX26429975,China,Asia,China: Chengdu,37,DNBSEQ-T7,not collected,GAS_ZBED6_KO_3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:07:00Z,1,GAS_ZBED6_KO_3,male,SRP539507,not collected,GAS
SRR31045390,not collected,RNA-Seq,300,7088885700,PRJNA1174889,SAMN44349979,Model organism or animal,Bama,4651888997,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not collected,not collected,SRX26429974,China,Asia,China: Chengdu,36,DNBSEQ-T7,not collected,LD_WT_1,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:09:00Z,1,LD_WT_1,male,SRP539507,not collected,LD
SRR31045391,not collected,RNA-Seq,300,6690703800,PRJNA1174889,SAMN44349978,Model organism or animal,Bama,4399282098,GUANGXI UNIVERSITY,2024-10-14,public,not collected,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not collected,not collected,SRX26429973,China,Asia,China: Chengdu,35,DNBSEQ-T7,not collected,LD_WT_2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Sus scrofa,DNBSEQ,2025-01-01T00:00:00Z,2024-10-19T04:10:00Z,1,LD_WT_2,male,SRP539507,not collected,LD
