target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	68.4566	0	0
ENSSSCT00000078200.1	291	68.4566	0	0
ENSSSCT00000070967.1	291	68.4566	0	0
ENSSSCT00000038066.2	288	67.5221	0	0
ENSSSCT00000060400.2	285	66.4588	0	0
ENSSSCT00000032004.3	300	71.9745	0	0
ENSSSCT00000069631.1	285	66.4588	0	0
ENSSSCT00000084172.1	591	274.561	0	0
ENSSSCT00000010999.5	939	621.342	0	0
ENSSSCT00000019660.4	955	637.342	120888	12983.9
ENSSSCT00000019664.4	1042	724.342	96193	9090.63
ENSSSCT00000019670.1	1545	1227.34	1.07231e+06	59806.6
ENSSSCT00000019673.1	688	370.755	259704	47949.7
ENSSSCT00000019675.1	204	32.008	7536	16116.7
ENSSSCT00000019676.1	681	363.779	180339	33934.8
ENSSSCT00000019677.1	784	466.467	321897	47237.8
ENSSSCT00000019679.3	346	88.3021	18253	14150
ENSSSCT00000019681.2	297	70.689	20111	19474.9
ENSSSCT00000019682.3	1378	1060.34	150387	9708.64
ENSSSCT00000019686.3	1821	1503.34	132712	6042.92
ENSSSCT00000019687.1	528	213.961	14443	4620.8
ENSSSCT00000019689.3	1140	822.342	138700	11545.6
ENSSSCT00000099167.1	918	600.362	0	0
ENSSSCT00000091307.1	939	621.342	0	0
ENSSSCT00000046204.2	939	621.342	0	0
ENSSSCT00000073435.1	240	48.0123	0	0
ENSSSCT00000072658.1	939	621.342	0	0
ENSSSCT00000102462.1	423	128.802	0	0
ENSSSCT00000040563.4	1624	1306.34	0	0
ENSSSCT00000047353.2	1143	825.342	0	0
ENSSSCT00000104769.1	1398	1080.34	0	0
ENSSSCT00000103607.1	1176	858.342	0	0
ENSSSCT00000097872.1	1125	807.342	0	0
ENSSSCT00000056752.3	3244	2926.34	0	0
ENSSSCT00000056762.3	3471	3153.34	126.735	2.75119
ENSSSCT00000096492.1	924	606.342	0	0
ENSSSCT00000103627.1	1176	858.342	0	0
ENSSSCT00000100545.1	1398	1080.34	0	0
ENSSSCT00000079227.1	1398	1080.34	0	0
ENSSSCT00000080413.2	1152	834.342	0	0
ENSSSCT00000040927.2	498	187.056	0	0
ENSSSCT00000074869.2	2764	2446.34	0	0
ENSSSCT00000063508.3	402	115.296	0	0
ENSSSCT00000100361.1	2163	1845.34	3	0.111286
ENSSSCT00000095067.1	900	582.381	0	0
ENSSSCT00000038958.2	2079	1761.34	0	0
ENSSSCT00000082576.1	453	149.785	1.4245	0.651008
ENSSSCT00000048930.2	2079	1761.34	0	0
ENSSSCT00000062908.2	951	633.342	0	0
ENSSSCT00000045484.3	1729	1411.34	3.28668	0.159411
ENSSSCT00000051712.3	3204	2886.34	13.4602	0.319226
ENSSSCT00000076493.1	770	452.513	0	0
ENSSSCT00000035684.4	522	208.512	0	0
ENSSSCT00000062384.1	522	208.512	0	0
ENSSSCT00000044872.1	441	140.985	0	0
ENSSSCT00000041794.1	435	136.617	0	0
ENSSSCT00000051780.2	5708	5390.34	12.0261	0.152722
ENSSSCT00000106884.1	393	109.814	0.105063	0.0654918
ENSSSCT00000105743.1	1053	735.342	0	0
ENSSSCT00000054823.3	1041	723.342	5.89494	0.557866
ENSSSCT00000051915.2	927	609.342	0	0
ENSSSCT00000082557.2	1282	964.342	0	0
ENSSSCT00000064112.3	1276	958.342	3.63069	0.259336
ENSSSCT00000100226.1	1183	865.342	33.5678	2.6554
ENSSSCT00000062158.2	552	236.755	0	0
ENSSSCT00000013322.5	1915	1597.34	2180	93.4228
ENSSSCT00000063424.3	2634	2316.34	1	0.0295523
ENSSSCT00000046322.2	4392	4074.34	192.501	3.23422
ENSSSCT00000013323.4	5089	4771.34	409.353	5.87289
ENSSSCT00000045348.2	8217	7899.34	32.5865	0.282384
ENSSSCT00000103634.1	948	630.342	0	0
ENSSSCT00000010416.5	3303	2985.34	0	0
ENSSSCT00000096504.1	3599	3281.34	0	0
ENSSSCT00000054748.3	3605	3287.34	0	0
ENSSSCT00000053874.2	987	669.342	0	0
ENSSSCT00000098136.1	519	205.761	0	0
ENSSSCT00000064380.2	372	99.2109	0	0
ENSSSCT00000033772.4	557	241.484	0	0
ENSSSCT00000014432.3	930	612.342	0	0
ENSSSCT00000095963.1	3048	2730.34	1.81456	0.0454934
ENSSSCT00000054731.3	2148	1830.34	0	0
ENSSSCT00000061495.2	954	636.342	0	0
ENSSSCT00000038050.2	927	609.342	0	0
ENSSSCT00000084775.1	954	636.342	0	0
ENSSSCT00000054929.3	945	627.342	0	0
ENSSSCT00000083016.1	933	615.342	0	0
ENSSSCT00000106904.1	954	636.342	0	0
ENSSSCT00000058052.3	1242	924.342	0	0
ENSSSCT00000103398.1	954	636.342	0	0
ENSSSCT00000060080.3	891	573.381	0	0
ENSSSCT00000079788.1	879	561.381	0	0
ENSSSCT00000065393.1	954	636.342	0	0
ENSSSCT00000066233.1	942	624.342	0	0
ENSSSCT00000038428.3	4061	3743.34	22.4726	0.41095
ENSSSCT00000106722.1	4123	3805.34	18.9558	0.340991
ENSSSCT00000038613.2	933	615.342	0	0
ENSSSCT00000086017.1	6515	6197.34	1.00015	0.0110472
ENSSSCT00000094411.1	918	600.362	0	0
ENSSSCT00000093195.1	939	621.342	0	0
ENSSSCT00000060483.3	2989	2671.34	5.90369	0.151282
ENSSSCT00000044015.3	3606	3288.34	110.999	2.31066
ENSSSCT00000098151.1	906	588.381	0	0
ENSSSCT00000099877.1	939	621.342	0	0
ENSSSCT00000055383.1	936	618.342	0	0
ENSSSCT00000006440.5	1159	841.342	0	0
ENSSSCT00000039853.3	3075	2757.34	0	0
ENSSSCT00000075544.1	2162	1844.34	0	0
ENSSSCT00000106739.1	918	600.362	0	0
ENSSSCT00000094696.1	1287	969.342	1698	119.91
ENSSSCT00000074527.1	936	618.342	0	0
ENSSSCT00000095412.1	936	618.342	0	0
ENSSSCT00000057638.3	1661	1343.34	18.7916	0.957571
ENSSSCT00000052749.3	2706	2388.34	21	0.60189
ENSSSCT00000072436.1	1410	1092.34	0	0
ENSSSCT00000100367.1	510	197.703	2	0.692488
ENSSSCT00000064678.2	936	618.342	0	0
ENSSSCT00000097296.1	3397	3079.34	1.00513	0.0223439
ENSSSCT00000093882.1	636	318.982	0	0
ENSSSCT00000061389.3	1622	1304.34	1054	55.3151
ENSSSCT00000047659.2	240	48.0123	0	0
ENSSSCT00000083630.1	936	618.342	0	0
ENSSSCT00000071514.2	1650	1332.34	25.7024	1.32054
ENSSSCT00000101381.1	777	459.482	7.83884	1.16782
ENSSSCT00000031202.3	1682	1364.34	27.3558	1.37253
ENSSSCT00000099316.1	1042	724.342	0	0
ENSSSCT00000058956.3	1192	874.342	0	0
ENSSSCT00000054707.3	1102	784.342	0	0
ENSSSCT00000096294.1	1027	709.342	0	0
ENSSSCT00000061829.3	1975	1657.34	23.433	0.967853
ENSSSCT00000028884.4	2948	2630.34	104.752	2.72612
ENSSSCT00000048674.3	4533	4215.34	3065.81	49.786
ENSSSCT00000059744.3	7520	7202.34	0	0
ENSSSCT00000029625.4	9608	9290.34	274.837	2.02506
ENSSSCT00000060930.3	9476	9158.34	958.721	7.16588
ENSSSCT00000013516.4	2433	2115.34	109	3.52728
ENSSSCT00000049889.2	6954	6636.34	2.00021	0.020632
ENSSSCT00000104902.1	939	621.342	0	0
ENSSSCT00000053946.2	963	645.342	0	0
ENSSSCT00000026503.4	2569	2251.34	67.4419	2.05061
ENSSSCT00000022992.3	906	588.381	0	0
ENSSSCT00000062135.3	2600	2282.34	0	0
ENSSSCT00000043243.3	2678	2360.34	0	0
ENSSSCT00000045677.3	2768	2450.34	0	0
ENSSSCT00000086242.2	2050	1732.34	1	0.0395149
ENSSSCT00000038861.3	3102	2784.34	0	0
ENSSSCT00000077906.2	3072	2754.34	0	0
ENSSSCT00000103189.1	3057	2739.34	0	0
ENSSSCT00000087031.2	3033	2715.34	0	0
ENSSSCT00000093296.1	2952	2634.34	0	0
