target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	57.5563	0	0
ENSSSCT00000078200.1	291	57.5563	0	0
ENSSSCT00000070967.1	291	57.5563	0	0
ENSSSCT00000038066.2	288	56.7328	0	0
ENSSSCT00000060400.2	285	55.5621	0	0
ENSSSCT00000032004.3	300	60.4001	0	0
ENSSSCT00000069631.1	285	55.5621	0	0
ENSSSCT00000084172.1	591	274.782	0	0
ENSSSCT00000010999.5	939	621.754	0	0
ENSSSCT00000019660.4	955	637.701	89061	8349.98
ENSSSCT00000019664.4	1042	724.701	49377	4073.62
ENSSSCT00000019670.1	1545	1227.7	1.26515e+06	61611.8
ENSSSCT00000019673.1	688	371.165	123698	19925.5
ENSSSCT00000019675.1	204	29.3978	3155	6416.52
ENSSSCT00000019676.1	681	364.165	77692	12755.4
ENSSSCT00000019677.1	784	466.929	332714	42602.5
ENSSSCT00000019679.3	346	77.0994	8779	6807.83
ENSSSCT00000019681.2	297	59.4374	13670	13750.7
ENSSSCT00000019682.3	1378	1060.7	103125	5812.81
ENSSSCT00000019686.3	1821	1503.7	54182	2154.31
ENSSSCT00000019687.1	528	213.621	5670	1586.91
ENSSSCT00000019689.3	1140	822.701	98387	7150.08
ENSSSCT00000099167.1	918	600.779	0	0
ENSSSCT00000091307.1	939	621.754	0	0
ENSSSCT00000046204.2	939	621.754	0	0
ENSSSCT00000073435.1	240	41.9175	0	0
ENSSSCT00000072658.1	939	621.754	0	0
ENSSSCT00000102462.1	423	122.764	0	0
ENSSSCT00000040563.4	1624	1306.7	0	0
ENSSSCT00000047353.2	1143	825.701	0	0
ENSSSCT00000104769.1	1398	1080.7	0	0
ENSSSCT00000103607.1	1176	858.701	0	0
ENSSSCT00000097872.1	1125	807.701	0	0
ENSSSCT00000056752.3	3244	2926.7	26.1528	0.534263
ENSSSCT00000056762.3	3471	3153.7	61.6479	1.16873
ENSSSCT00000096492.1	924	606.754	0	0
ENSSSCT00000103627.1	1176	858.701	0	0
ENSSSCT00000100545.1	1398	1080.7	0	0
ENSSSCT00000079227.1	1398	1080.7	0	0
ENSSSCT00000080413.2	1152	834.701	0	0
ENSSSCT00000040927.2	498	185.437	0	0
ENSSSCT00000074869.2	2764	2446.7	0	0
ENSSSCT00000063508.3	402	107.935	0	0
ENSSSCT00000100361.1	2163	1845.7	1	0.0323932
ENSSSCT00000095067.1	900	582.779	0	0
ENSSSCT00000038958.2	2079	1761.7	0	0
ENSSSCT00000082576.1	453	146.03	0	0
ENSSSCT00000048930.2	2079	1761.7	0	0
ENSSSCT00000062908.2	951	633.701	0	0
ENSSSCT00000045484.3	1729	1411.7	3.55218	0.150441
ENSSSCT00000051712.3	3204	2886.7	5.01344	0.103836
ENSSSCT00000076493.1	770	452.948	0	0
ENSSSCT00000035684.4	522	207.881	0	0
ENSSSCT00000062384.1	522	207.881	0	0
ENSSSCT00000044872.1	441	136.355	0	0
ENSSSCT00000041794.1	435	131.871	0	0
ENSSSCT00000051780.2	5708	5390.7	3	0.0332729
ENSSSCT00000106884.1	393	102.18	0	0
ENSSSCT00000105743.1	1053	735.701	0	0
ENSSSCT00000054823.3	1041	723.701	12	0.991373
ENSSSCT00000051915.2	927	609.754	0	0
ENSSSCT00000082557.2	1282	964.701	0	0
ENSSSCT00000064112.3	1276	958.701	0	0
ENSSSCT00000100226.1	1183	865.701	30.7541	2.12398
ENSSSCT00000062158.2	552	236.557	0	0
ENSSSCT00000013322.5	1915	1597.7	1513	56.6185
ENSSSCT00000063424.3	2634	2316.7	0	0
ENSSSCT00000046322.2	4392	4074.7	9.73166	0.142793
ENSSSCT00000013323.4	5089	4771.7	201.266	2.52181
ENSSSCT00000045348.2	8217	7899.7	21.0023	0.158954
ENSSSCT00000103634.1	948	630.727	0	0
ENSSSCT00000010416.5	3303	2985.7	0	0
ENSSSCT00000096504.1	3599	3281.7	0	0
ENSSSCT00000054748.3	3605	3287.7	0	0
ENSSSCT00000053874.2	987	669.701	0	0
ENSSSCT00000098136.1	519	205.012	0	0
ENSSSCT00000064380.2	372	90.0817	0	0
ENSSSCT00000033772.4	557	241.365	0	0
ENSSSCT00000014432.3	930	612.754	0	0
ENSSSCT00000095963.1	3048	2730.7	0	0
ENSSSCT00000054731.3	2148	1830.7	12.9864	0.424117
ENSSSCT00000061495.2	954	636.701	0	0
ENSSSCT00000038050.2	927	609.754	0	0
ENSSSCT00000084775.1	954	636.701	0	0
ENSSSCT00000054929.3	945	627.727	0	0
ENSSSCT00000083016.1	933	615.754	0	0
ENSSSCT00000106904.1	954	636.701	0	0
ENSSSCT00000058052.3	1242	924.701	0	0
ENSSSCT00000103398.1	954	636.701	0	0
