target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	56.9712	0	0
ENSSSCT00000078200.1	291	56.9712	0	0
ENSSSCT00000070967.1	291	56.9712	0	0
ENSSSCT00000038066.2	288	56.1378	0	0
ENSSSCT00000060400.2	285	55.2774	0	0
ENSSSCT00000032004.3	300	59.4482	0	0
ENSSSCT00000069631.1	285	55.2774	0	0
ENSSSCT00000084172.1	591	263.155	0	0
ENSSSCT00000010999.5	939	609.618	0	0
ENSSSCT00000019660.4	955	625.618	60204	7144.11
ENSSSCT00000019664.4	1042	712.596	35418	3689.88
ENSSSCT00000019670.1	1545	1215.6	715539	43699.5
ENSSSCT00000019673.1	688	359.076	135024	27916.2
ENSSSCT00000019675.1	204	33.6784	2778	6123.68
ENSSSCT00000019676.1	681	352.113	92236	19446.9
ENSSSCT00000019677.1	784	454.839	206728	33742.2
ENSSSCT00000019679.3	346	73.1906	6799	6896.39
ENSSSCT00000019681.2	297	58.6844	9213	11655
ENSSSCT00000019682.3	1378	1048.6	87515	6195.93
ENSSSCT00000019686.3	1821	1491.6	38885	1935.37
ENSSSCT00000019687.1	528	202.447	4031	1478.2
ENSSSCT00000019689.3	1140	810.596	85095	7793.48
ENSSSCT00000099167.1	918	588.66	0	0
ENSSSCT00000091307.1	939	609.618	0	0
ENSSSCT00000046204.2	939	609.618	0	0
ENSSSCT00000073435.1	240	43.4086	0	0
ENSSSCT00000072658.1	939	609.618	0	0
ENSSSCT00000102462.1	423	114.607	0	0
ENSSSCT00000040563.4	1624	1294.6	0	0
ENSSSCT00000047353.2	1143	813.596	0	0
ENSSSCT00000104769.1	1398	1068.6	0	0
ENSSSCT00000103607.1	1176	846.596	0	0
ENSSSCT00000097872.1	1125	795.596	0	0
ENSSSCT00000056752.3	3244	2914.6	38.6121	0.983507
ENSSSCT00000056762.3	3471	3141.6	76.21	1.80092
ENSSSCT00000096492.1	924	594.66	0	0
ENSSSCT00000103627.1	1176	846.596	0	0
ENSSSCT00000100545.1	1398	1068.6	0	0
ENSSSCT00000079227.1	1398	1068.6	0	0
