target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	56.8872	0	0
ENSSSCT00000078200.1	291	56.8872	0	0
ENSSSCT00000070967.1	291	56.8872	0	0
ENSSSCT00000038066.2	288	56.0915	0	0
ENSSSCT00000060400.2	285	55.1844	0	0
ENSSSCT00000032004.3	300	59.2177	0	0
ENSSSCT00000069631.1	285	55.1844	0	0
ENSSSCT00000084172.1	591	281.396	0	0
ENSSSCT00000010999.5	939	628.827	0	0
ENSSSCT00000019660.4	955	644.827	70595	6564.23
ENSSSCT00000019664.4	1042	731.827	57383	4701.4
ENSSSCT00000019670.1	1545	1234.83	719631	34942.7
ENSSSCT00000019673.1	688	378.036	141248	22402.8
ENSSSCT00000019675.1	204	30.1842	3462	6877.02
ENSSSCT00000019676.1	681	371.047	93164	15054.7
ENSSSCT00000019677.1	784	473.927	237745	30078.3
ENSSSCT00000019679.3	346	76.1943	9210	7247.53
ENSSSCT00000019681.2	297	58.322	11222	11536.9
ENSSSCT00000019682.3	1378	1067.83	75844	4258.66
ENSSSCT00000019686.3	1821	1510.83	53037	2104.83
ENSSSCT00000019687.1	528	219.442	5789	1581.74
ENSSSCT00000019689.3	1140	829.827	86320	6237.01
ENSSSCT00000099167.1	918	607.864	0	0
ENSSSCT00000091307.1	939	628.827	0	0
ENSSSCT00000046204.2	939	628.827	0	0
ENSSSCT00000073435.1	240	42.3676	0	0
ENSSSCT00000072658.1	939	628.827	0	0
ENSSSCT00000102462.1	423	124.736	0	0
ENSSSCT00000040563.4	1624	1313.83	0	0
ENSSSCT00000047353.2	1143	832.827	0	0
ENSSSCT00000104769.1	1398	1087.83	0	0
ENSSSCT00000103607.1	1176	865.827	0	0
ENSSSCT00000097872.1	1125	814.827	0	0
ENSSSCT00000056752.3	3244	2933.83	18.5511	0.37913
ENSSSCT00000056762.3	3471	3160.83	93.0858	1.76578
ENSSSCT00000096492.1	924	613.846	1	0.0976773
ENSSSCT00000103627.1	1176	865.827	0	0
ENSSSCT00000100545.1	1398	1087.83	0	0
ENSSSCT00000079227.1	1398	1087.83	0	0
ENSSSCT00000080413.2	1152	841.827	0	0
ENSSSCT00000040927.2	498	190.82	0	0
ENSSSCT00000074869.2	2764	2453.83	1.00812	0.0246332
ENSSSCT00000063508.3	402	108.81	0	0
ENSSSCT00000100361.1	2163	1852.83	1.15632	0.0374193
ENSSSCT00000095067.1	900	589.864	0	0
ENSSSCT00000038958.2	2079	1768.83	0.333333	0.0112992
ENSSSCT00000082576.1	453	149.816	0	0
ENSSSCT00000048930.2	2079	1768.83	0.333333	0.0112992
ENSSSCT00000062908.2	951	640.827	0	0
ENSSSCT00000045484.3	1729	1418.83	0	0
ENSSSCT00000051712.3	3204	2893.83	16.0249	0.332028
ENSSSCT00000076493.1	770	459.927	0	0
ENSSSCT00000035684.4	522	213.651	0	0
ENSSSCT00000062384.1	522	213.651	0	0
ENSSSCT00000044872.1	441	139.336	0	0
ENSSSCT00000041794.1	435	134.406	0	0
ENSSSCT00000051780.2	5708	5397.83	6	0.0666477
ENSSSCT00000106884.1	393	102.596	0.867891	0.507209
ENSSSCT00000105743.1	1053	742.827	0	0
