target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	56.2092	0	0
ENSSSCT00000078200.1	291	56.2092	0	0
ENSSSCT00000070967.1	291	56.2092	0	0
ENSSSCT00000038066.2	288	55.5557	0	0
ENSSSCT00000060400.2	285	54.5622	0	0
ENSSSCT00000032004.3	300	58.6868	0	0
ENSSSCT00000069631.1	285	54.5622	0	0
ENSSSCT00000084172.1	591	256.508	0	0
ENSSSCT00000010999.5	939	603.026	0	0
ENSSSCT00000019660.4	955	619.003	60331	6818.74
ENSSSCT00000019664.4	1042	705.93	29269	2900.7
ENSSSCT00000019670.1	1545	1208.93	733381	42440.9
ENSSSCT00000019673.1	688	352.558	115082	22836.7
ENSSSCT00000019675.1	204	33.2142	1860	3917.82
ENSSSCT00000019676.1	681	345.585	70714	14315.5
ENSSSCT00000019677.1	784	448.241	225961	35267.8
ENSSSCT00000019679.3	346	71.7394	5627	5487.51
ENSSSCT00000019681.2	297	57.9723	12213	14738.7
ENSSSCT00000019682.3	1378	1041.93	89930	6038.4
ENSSSCT00000019686.3	1821	1484.93	47341	2230.42
ENSSSCT00000019687.1	528	195.802	5444	1945.17
ENSSSCT00000019689.3	1140	803.93	75801	6596.49
ENSSSCT00000099167.1	918	582.049	0	0
ENSSSCT00000091307.1	939	603.026	0	0
ENSSSCT00000046204.2	939	603.026	0	0
ENSSSCT00000073435.1	240	43.7304	0	0
ENSSSCT00000072658.1	939	603.026	0	0
ENSSSCT00000102462.1	423	110.309	0	0
ENSSSCT00000040563.4	1624	1287.93	0	0
ENSSSCT00000047353.2	1143	806.93	0	0
ENSSSCT00000104769.1	1398	1061.93	0	0
ENSSSCT00000103607.1	1176	839.93	0	0
ENSSSCT00000097872.1	1125	788.93	0	0
ENSSSCT00000056752.3	3244	2907.93	29.3347	0.705755
ENSSSCT00000056762.3	3471	3134.93	82.4247	1.83944
ENSSSCT00000096492.1	924	588.049	0	0
ENSSSCT00000103627.1	1176	839.93	0	0
ENSSSCT00000100545.1	1398	1061.93	0	0
ENSSSCT00000079227.1	1398	1061.93	0	0
ENSSSCT00000080413.2	1152	815.93	0	0
ENSSSCT00000040927.2	498	168.675	0	0
ENSSSCT00000074869.2	2764	2427.93	1.00263	0.0288908
ENSSSCT00000063508.3	402	97.4044	0	0
ENSSSCT00000100361.1	2163	1826.93	3.26889	0.12518
ENSSSCT00000095067.1	900	564.071	0	0
ENSSSCT00000038958.2	2079	1742.93	0	0
ENSSSCT00000082576.1	453	131.599	0	0
ENSSSCT00000048930.2	2079	1742.93	0	0
ENSSSCT00000062908.2	951	615.003	0	0
ENSSSCT00000045484.3	1729	1392.93	2.1851	0.109748
ENSSSCT00000051712.3	3204	2867.93	7.78496	0.189908
ENSSSCT00000076493.1	770	434.258	0	0
ENSSSCT00000035684.4	522	190.287	0	0
ENSSSCT00000062384.1	522	190.287	0	0
ENSSSCT00000044872.1	441	122.647	0	0
ENSSSCT00000041794.1	435	118.52	0	0
ENSSSCT00000051780.2	5708	5371.93	7	0.0911641
ENSSSCT00000106884.1	393	92.3152	1.41968	1.0759
ENSSSCT00000105743.1	1053	716.93	1.3705e-08	1.33739e-09
ENSSSCT00000054823.3	1041	704.93	2.30138	0.228401
ENSSSCT00000051915.2	927	591.049	0	0
ENSSSCT00000082557.2	1282	945.93	0	0
ENSSSCT00000064112.3	1276	939.93	0	0
ENSSSCT00000100226.1	1183	846.93	19	1.5695
ENSSSCT00000062158.2	552	218.559	0	0
ENSSSCT00000013322.5	1915	1578.93	2163.63	95.8684
ENSSSCT00000063424.3	2634	2297.93	0	0
ENSSSCT00000046322.2	4392	4055.93	157.819	2.72222
ENSSSCT00000013323.4	5089	4752.93	473.759	6.97352
ENSSSCT00000045348.2	8217	7880.93	20.5417	0.182354
ENSSSCT00000103634.1	948	612.003	0	0
ENSSSCT00000010416.5	3303	2966.93	0	0
ENSSSCT00000096504.1	3599	3262.93	0	0
ENSSSCT00000054748.3	3605	3268.93	0	0
ENSSSCT00000053874.2	987	650.93	0	0
ENSSSCT00000098136.1	519	187.5	0	0
ENSSSCT00000064380.2	372	81.9298	0	0
ENSSSCT00000033772.4	557	223.44	0	0
ENSSSCT00000014432.3	930	594.049	0	0
ENSSSCT00000095963.1	3048	2711.93	0	0
ENSSSCT00000054731.3	2148	1811.93	17.6282	0.68065
