target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	60.2462	1	1.10669
ENSSSCT00000078200.1	291	60.2462	1	1.10669
ENSSSCT00000070967.1	291	60.2462	0	0
ENSSSCT00000038066.2	288	59.026	0	0
ENSSSCT00000060400.2	285	57.8028	1	1.15347
ENSSSCT00000032004.3	300	64.5853	0	0
ENSSSCT00000069631.1	285	57.8028	0	0
ENSSSCT00000084172.1	591	299.411	1	0.222684
ENSSSCT00000010999.5	939	646.507	0	0
ENSSSCT00000019660.4	955	662.507	105830	10650.6
ENSSSCT00000019664.4	1042	749.507	80627	7172.35
ENSSSCT00000019670.1	1545	1252.51	1.03411e+06	55048.2
ENSSSCT00000019673.1	688	395.836	232057	39087.3
ENSSSCT00000019675.1	204	29.1506	9916	22680.1
ENSSSCT00000019676.1	681	388.863	207052	35500.9
ENSSSCT00000019677.1	784	491.567	330180	44784.2
ENSSSCT00000019679.3	346	88.0868	13590	10286.4
ENSSSCT00000019681.2	297	63.2244	22506	23734
ENSSSCT00000019682.3	1378	1085.51	144000	8844.77
ENSSSCT00000019686.3	1821	1528.51	98154	4281.51
ENSSSCT00000019687.1	528	237.612	17243	4838.39
ENSSSCT00000019689.3	1140	847.507	133183	10477.6
ENSSSCT00000099167.1	918	625.528	0	0
ENSSSCT00000091307.1	939	646.507	0	0
ENSSSCT00000046204.2	939	646.507	0	0
ENSSSCT00000073435.1	240	40.5736	0	0
ENSSSCT00000072658.1	939	646.507	0	0
ENSSSCT00000102462.1	423	142.689	0	0
ENSSSCT00000040563.4	1624	1331.51	0	0
ENSSSCT00000047353.2	1143	850.507	0	0
ENSSSCT00000104769.1	1398	1105.51	0	0
ENSSSCT00000103607.1	1176	883.507	0	0
ENSSSCT00000097872.1	1125	832.507	0	0
ENSSSCT00000056752.3	3244	2951.51	70.2029	1.58587
ENSSSCT00000056762.3	3471	3178.51	61.3049	1.28596
ENSSSCT00000096492.1	924	631.528	1	0.105576
ENSSSCT00000103627.1	1176	883.507	0	0
ENSSSCT00000100545.1	1398	1105.51	0	0
ENSSSCT00000079227.1	1398	1105.51	0	0
ENSSSCT00000080413.2	1152	859.507	0	0
ENSSSCT00000040927.2	498	209.039	0	0
ENSSSCT00000074869.2	2764	2471.51	0	0
ENSSSCT00000063508.3	402	126.025	0	0
ENSSSCT00000100361.1	2163	1870.51	2.28791	0.0815523
ENSSSCT00000095067.1	900	607.528	0	0
ENSSSCT00000038958.2	2079	1786.51	0	0
ENSSSCT00000082576.1	453	168.148	1	0.396519
ENSSSCT00000048930.2	2079	1786.51	0	0
ENSSSCT00000062908.2	951	658.507	0	0
ENSSSCT00000045484.3	1729	1436.51	6.39904	0.297005
ENSSSCT00000051712.3	3204	2911.51	7.83162	0.179345
ENSSSCT00000076493.1	770	477.567	0	0
ENSSSCT00000035684.4	522	231.818	0	0
ENSSSCT00000062384.1	522	231.818	0	0
ENSSSCT00000044872.1	441	157.744	0	0
ENSSSCT00000041794.1	435	152.709	0	0
ENSSSCT00000051780.2	5708	5415.51	6	0.0738701
ENSSSCT00000106884.1	393	119.161	1.66161	0.929715
ENSSSCT00000105743.1	1053	760.507	0	0
ENSSSCT00000054823.3	1041	748.507	5.33839	0.475523
ENSSSCT00000051915.2	927	634.528	0	0
ENSSSCT00000082557.2	1282	989.507	0	0
ENSSSCT00000064112.3	1276	983.507	0	0
ENSSSCT00000100226.1	1183	890.507	29.6462	2.21967
ENSSSCT00000062158.2	552	260.949	0	0
ENSSSCT00000013322.5	1915	1622.51	1809	74.3376
ENSSSCT00000063424.3	2634	2341.51	0	0
ENSSSCT00000046322.2	4392	4099.51	260.943	4.24395
ENSSSCT00000013323.4	5089	4796.51	338.985	4.71207
ENSSSCT00000045348.2	8217	7924.51	22.0717	0.185703
ENSSSCT00000103634.1	948	655.507	0	0
ENSSSCT00000010416.5	3303	3010.51	0	0
ENSSSCT00000096504.1	3599	3306.51	0	0
ENSSSCT00000054748.3	3605	3312.51	0	0
ENSSSCT00000053874.2	987	694.507	0	0
ENSSSCT00000098136.1	519	228.911	0	0
ENSSSCT00000064380.2	372	104.488	0	0
ENSSSCT00000033772.4	557	265.843	0	0
ENSSSCT00000014432.3	930	637.528	0	0
ENSSSCT00000095963.1	3048	2755.51	1.88091	0.0455117
ENSSSCT00000054731.3	2148	1855.51	0	0
