target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	59.0353	0	0
ENSSSCT00000078200.1	291	59.0353	0	0
ENSSSCT00000070967.1	291	59.0353	0	0
ENSSSCT00000038066.2	288	58.2419	0	0
ENSSSCT00000060400.2	285	56.9945	0	0
ENSSSCT00000032004.3	300	61.7216	0	0
ENSSSCT00000069631.1	285	56.9945	0	0
ENSSSCT00000084172.1	591	273.373	0	0
ENSSSCT00000010999.5	939	620.148	0	0
ENSSSCT00000019660.4	955	636.148	55586	5803.13
ENSSSCT00000019664.4	1042	723.148	15956	1465.39
ENSSSCT00000019670.1	1545	1226.15	635323	34411.8
ENSSSCT00000019673.1	688	369.529	85658	15394.8
ENSSSCT00000019675.1	204	30.9451	2055	4410.37
ENSSSCT00000019676.1	681	362.572	50131	9182.63
ENSSSCT00000019677.1	784	465.313	175714	25079.3
ENSSSCT00000019679.3	346	77.5294	5930	5079.76
ENSSSCT00000019681.2	297	60.9003	9328	10172.4
ENSSSCT00000019682.3	1378	1059.15	80587	5053.17
ENSSSCT00000019686.3	1821	1502.15	29892	1321.59
ENSSSCT00000019687.1	528	212.117	3601	1127.46
ENSSSCT00000019689.3	1140	821.148	57318	4635.8
ENSSSCT00000099167.1	918	599.172	0	0
ENSSSCT00000091307.1	939	620.148	0	0
ENSSSCT00000046204.2	939	620.148	0	0
ENSSSCT00000073435.1	240	43.9093	0	0
ENSSSCT00000072658.1	939	620.148	0	0
ENSSSCT00000102462.1	423	121.946	0	0
ENSSSCT00000040563.4	1624	1305.15	0	0
ENSSSCT00000047353.2	1143	824.148	0	0
ENSSSCT00000104769.1	1398	1079.15	0	0
ENSSSCT00000103607.1	1176	857.148	0	0
ENSSSCT00000097872.1	1125	806.148	0	0
ENSSSCT00000056752.3	3244	2925.15	32.086	0.72849
ENSSSCT00000056762.3	3471	3152.15	84.7079	1.78473
ENSSSCT00000096492.1	924	605.172	0	0
ENSSSCT00000103627.1	1176	857.148	0	0
ENSSSCT00000100545.1	1398	1079.15	0	0
ENSSSCT00000079227.1	1398	1079.15	0	0
ENSSSCT00000080413.2	1152	833.148	0	0
ENSSSCT00000040927.2	498	184.149	0	0
ENSSSCT00000074869.2	2764	2445.15	1.00683	0.0273469
ENSSSCT00000063508.3	402	107.577	0	0
ENSSSCT00000100361.1	2163	1844.15	3.49821	0.125981
ENSSSCT00000095067.1	900	581.172	0	0
ENSSSCT00000038958.2	2079	1760.15	0	0
ENSSSCT00000082576.1	453	145.055	1	0.45785
ENSSSCT00000048930.2	2079	1760.15	0	0
ENSSSCT00000062908.2	951	632.148	0	0
ENSSSCT00000045484.3	1729	1410.15	0.456703	0.0215092
ENSSSCT00000051712.3	3204	2885.15	15.3244	0.352753
ENSSSCT00000076493.1	770	451.35	0	0
ENSSSCT00000035684.4	522	206.403	0	0
ENSSSCT00000062384.1	522	206.403	0	0
ENSSSCT00000044872.1	441	135.383	0	0
ENSSSCT00000041794.1	435	130.857	0	0
ENSSSCT00000051780.2	5708	5389.15	8.02125	0.0988501
ENSSSCT00000106884.1	393	101.682	0.512041	0.334438
ENSSSCT00000105743.1	1053	734.148	1.26476	0.114414
ENSSSCT00000054823.3	1041	722.148	7.06124	0.649397
ENSSSCT00000051915.2	927	608.172	0	0
ENSSSCT00000082557.2	1282	963.148	0	0
ENSSSCT00000064112.3	1276	957.148	5.31778	0.368983
ENSSSCT00000100226.1	1183	864.148	14.7153	1.13093
ENSSSCT00000062158.2	552	235.317	0	0
ENSSSCT00000013322.5	1915	1596.15	1667	69.3614
ENSSSCT00000063424.3	2634	2315.15	0	0
ENSSSCT00000046322.2	4392	4073.15	44.2673	0.721786
ENSSSCT00000013323.4	5089	4770.15	305.992	4.26024
ENSSSCT00000045348.2	8217	7898.15	18.8194	0.158247
ENSSSCT00000103634.1	948	629.148	0	0
ENSSSCT00000010416.5	3303	2984.15	0	0
ENSSSCT00000096504.1	3599	3280.15	0	0
ENSSSCT00000054748.3	3605	3286.15	0	0
ENSSSCT00000053874.2	987	668.148	0	0
ENSSSCT00000098136.1	519	203.526	0	0
ENSSSCT00000064380.2	372	89.8261	0	0
ENSSSCT00000033772.4	557	240.147	0	0
ENSSSCT00000014432.3	930	611.172	0	0
ENSSSCT00000095963.1	3048	2729.15	0	0
ENSSSCT00000054731.3	2148	1829.15	0	0
ENSSSCT00000061495.2	954	635.148	0	0
ENSSSCT00000038050.2	927	608.172	0	0
ENSSSCT00000084775.1	954	635.148	0	0
ENSSSCT00000054929.3	945	626.148	0	0
ENSSSCT00000083016.1	933	614.172	0	0
ENSSSCT00000106904.1	954	635.148	0	0
ENSSSCT00000058052.3	1242	923.148	1.68133	0.120959
ENSSSCT00000103398.1	954	635.148	0	0
ENSSSCT00000060080.3	891	572.172	0	0
ENSSSCT00000079788.1	879	560.195	0	0
ENSSSCT00000065393.1	954	635.148	0	0
ENSSSCT00000066233.1	942	623.148	0	0
ENSSSCT00000038428.3	4061	3742.15	8.60207	0.152664
ENSSSCT00000106722.1	4123	3804.15	4.22635	0.0737843
ENSSSCT00000038613.2	933	614.172	0	0
ENSSSCT00000086017.1	6515	6196.15	1.01442	0.0108731
ENSSSCT00000094411.1	918	599.172	0	0
ENSSSCT00000093195.1	939	620.148	0	0
ENSSSCT00000060483.3	2989	2670.15	11.7653	0.292633
ENSSSCT00000044015.3	3606	3287.15	117.893	2.38191
ENSSSCT00000098151.1	906	587.172	0	0
ENSSSCT00000099877.1	939	620.148	0	0
ENSSSCT00000055383.1	936	617.148	0	0
ENSSSCT00000006440.5	1159	840.148	0	0
ENSSSCT00000039853.3	3075	2756.15	0	0
ENSSSCT00000075544.1	2162	1843.15	0	0
ENSSSCT00000106739.1	918	599.172	0	0
ENSSSCT00000094696.1	1287	968.148	1612	110.581
ENSSSCT00000074527.1	936	617.148	0	0
ENSSSCT00000095412.1	936	617.148	0	0
ENSSSCT00000057638.3	1661	1342.15	11.7105	0.57947
ENSSSCT00000052749.3	2706	2387.15	22	0.612067
ENSSSCT00000072436.1	1410	1091.15	0.666667	0.040577
ENSSSCT00000100367.1	510	195.127	2	0.680719
ENSSSCT00000064678.2	936	617.148	0	0
