target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	59.9377	0	0
ENSSSCT00000078200.1	291	59.9377	0	0
ENSSSCT00000070967.1	291	59.9377	0	0
ENSSSCT00000038066.2	288	58.8784	0	0
ENSSSCT00000060400.2	285	57.8295	0	0
ENSSSCT00000032004.3	300	62.3424	0	0
ENSSSCT00000069631.1	285	57.8295	0	0
ENSSSCT00000084172.1	591	272.101	0	0
ENSSSCT00000010999.5	939	619.051	0	0
ENSSSCT00000019660.4	955	635.051	102060	10303.3
ENSSSCT00000019664.4	1042	722.051	38015	3375.34
ENSSSCT00000019670.1	1545	1225.05	1.09649e+06	57382.7
ENSSSCT00000019673.1	688	368.376	123564	21504.6
ENSSSCT00000019675.1	204	32.0901	3901	7793.56
ENSSSCT00000019676.1	681	361.402	88073	15623.7
ENSSSCT00000019677.1	784	464.16	342336	47284.1
ENSSSCT00000019679.3	346	79.017	12273	9957.74
ENSSSCT00000019681.2	297	61.67	12558	13055
ENSSSCT00000019682.3	1378	1058.05	120727	7315.24
ENSSSCT00000019686.3	1821	1501.05	65871	2813.39
ENSSSCT00000019687.1	528	211.054	7927	2407.94
ENSSSCT00000019689.3	1140	820.051	115728	9047.49
ENSSSCT00000099167.1	918	598.072	0	0
ENSSSCT00000091307.1	939	619.051	0	0
ENSSSCT00000046204.2	939	619.051	0	0
ENSSSCT00000073435.1	240	44.3629	0	0
ENSSSCT00000072658.1	939	619.051	0	0
ENSSSCT00000102462.1	423	121.932	0	0
ENSSSCT00000040563.4	1624	1304.05	0	0
ENSSSCT00000047353.2	1143	823.051	0	0
ENSSSCT00000104769.1	1398	1078.05	0	0
ENSSSCT00000103607.1	1176	856.051	0	0
ENSSSCT00000097872.1	1125	805.051	0	0
ENSSSCT00000056752.3	3244	2924.05	40.0785	0.878734
ENSSSCT00000056762.3	3471	3151.05	47.9215	0.975002
ENSSSCT00000096492.1	924	604.072	0	0
ENSSSCT00000103627.1	1176	856.051	0	0
ENSSSCT00000100545.1	1398	1078.05	0	0
ENSSSCT00000079227.1	1398	1078.05	0	0
ENSSSCT00000080413.2	1152	832.051	0	0
ENSSSCT00000040927.2	498	183.245	0	0
ENSSSCT00000074869.2	2764	2444.05	0	0
ENSSSCT00000063508.3	402	107.914	0	0
ENSSSCT00000100361.1	2163	1843.05	3	0.104355
ENSSSCT00000095067.1	900	580.072	0	0
ENSSSCT00000038958.2	2079	1759.05	0	0
ENSSSCT00000082576.1	453	144.812	0	0
ENSSSCT00000048930.2	2079	1759.05	0	0
ENSSSCT00000062908.2	951	631.051	0	0
ENSSSCT00000045484.3	1729	1409.05	0	0
ENSSSCT00000051712.3	3204	2884.05	9.29101	0.206534
ENSSSCT00000076493.1	770	450.16	0	0
ENSSSCT00000035684.4	522	205.313	0	0
ENSSSCT00000062384.1	522	205.313	0	0
ENSSSCT00000044872.1	441	135.203	0	0
ENSSSCT00000041794.1	435	130.731	0	0
ENSSSCT00000051780.2	5708	5388.05	13	0.154683
ENSSSCT00000106884.1	393	102.466	4.01567	2.51252
ENSSSCT00000105743.1	1053	733.051	1.59078	0.139126
ENSSSCT00000054823.3	1041	721.051	22.4921	1.99984
ENSSSCT00000051915.2	927	607.051	0	0
ENSSSCT00000082557.2	1282	962.051	0	0
ENSSSCT00000064112.3	1276	956.051	0	0
ENSSSCT00000100226.1	1183	863.051	25.4486	1.89042
ENSSSCT00000062158.2	552	234.104	0	0
ENSSSCT00000013322.5	1915	1595.05	1654.62	66.5052
ENSSSCT00000063424.3	2634	2314.05	0	0
ENSSSCT00000046322.2	4392	4072.05	41.7122	0.656721
ENSSSCT00000013323.4	5089	4769.05	175.984	2.36577
ENSSSCT00000045348.2	8217	7897.05	19.3038	0.156714
ENSSSCT00000103634.1	948	628.051	0	0
ENSSSCT00000010416.5	3303	2983.05	0	0
ENSSSCT00000096504.1	3599	3279.05	0	0
ENSSSCT00000054748.3	3605	3285.05	0	0
ENSSSCT00000053874.2	987	667.051	0	0
ENSSSCT00000098136.1	519	202.495	0	0
ENSSSCT00000064380.2	372	90.8434	0	0
ENSSSCT00000033772.4	557	238.937	0	0
ENSSSCT00000014432.3	930	610.051	0	0
ENSSSCT00000095963.1	3048	2728.05	0	0
ENSSSCT00000054731.3	2148	1828.05	0	0
ENSSSCT00000061495.2	954	634.051	0	0
ENSSSCT00000038050.2	927	607.051	0	0
ENSSSCT00000084775.1	954	634.051	0	0
ENSSSCT00000054929.3	945	625.051	0	0
ENSSSCT00000083016.1	933	613.051	0	0
ENSSSCT00000106904.1	954	634.051	0	0
ENSSSCT00000058052.3	1242	922.051	1.94818	0.135458
ENSSSCT00000103398.1	954	634.051	0	0
ENSSSCT00000060080.3	891	571.072	0	0
ENSSSCT00000079788.1	879	559.072	0	0
ENSSSCT00000065393.1	954	634.051	0	0
ENSSSCT00000066233.1	942	622.051	0	0
ENSSSCT00000038428.3	4061	3741.05	10	0.171371
ENSSSCT00000106722.1	4123	3803.05	0	0
ENSSSCT00000038613.2	933	613.051	0	0
ENSSSCT00000086017.1	6515	6195.05	0	0
ENSSSCT00000094411.1	918	598.072	0	0
ENSSSCT00000093195.1	939	619.051	0	0
ENSSSCT00000060483.3	2989	2669.05	11.0662	0.265812
ENSSSCT00000044015.3	3606	3286.05	90.1238	1.75831
ENSSSCT00000098151.1	906	586.072	0	0
ENSSSCT00000099877.1	939	619.051	0	0
ENSSSCT00000055383.1	936	616.051	0	0
ENSSSCT00000006440.5	1159	839.051	0	0
ENSSSCT00000039853.3	3075	2755.05	0	0
ENSSSCT00000075544.1	2162	1842.05	0	0
ENSSSCT00000106739.1	918	598.072	0	0
ENSSSCT00000094696.1	1287	967.051	2598	172.235
ENSSSCT00000074527.1	936	616.051	0	0
ENSSSCT00000095412.1	936	616.051	0	0
ENSSSCT00000057638.3	1661	1341.05	11.0883	0.530089
ENSSSCT00000052749.3	2706	2386.05	20.3829	0.547667
ENSSSCT00000072436.1	1410	1090.05	0	0
ENSSSCT00000100367.1	510	194.096	0	0
ENSSSCT00000064678.2	936	616.051	0	0
ENSSSCT00000097296.1	3397	3077.05	1.0323	0.0215081
ENSSSCT00000093882.1	636	316.63	0	0
ENSSSCT00000061389.3	1622	1302.05	399	19.6461
ENSSSCT00000047659.2	240	44.3629	0	0
ENSSSCT00000083630.1	936	616.051	0	0
ENSSSCT00000071514.2	1650	1330.05	31.6414	1.52517
ENSSSCT00000101381.1	777	457.16	3.33573	0.467792
ENSSSCT00000031202.3	1682	1362.05	19.6643	0.925583
ENSSSCT00000099316.1	1042	722.051	0	0
ENSSSCT00000058956.3	1192	872.051	0	0
ENSSSCT00000054707.3	1102	782.051	0	0
ENSSSCT00000096294.1	1027	707.051	0	0
ENSSSCT00000061829.3	1975	1655.05	11.57	0.448179
ENSSSCT00000028884.4	2948	2628.05	65.4732	1.5972
ENSSSCT00000048674.3	4533	4213.05	2022.96	30.7837
ENSSSCT00000059744.3	7520	7200.05	0	0
ENSSSCT00000029625.4	9608	9288.05	137.926	0.952037
ENSSSCT00000060930.3	9476	9156.05	491.309	3.44015
ENSSSCT00000013516.4	2433	2113.05	97	2.94301
ENSSSCT00000049889.2	6954	6634.05	0	0
ENSSSCT00000104902.1	939	619.051	0	0
ENSSSCT00000053946.2	963	643.051	0	0
ENSSSCT00000026503.4	2569	2249.05	48.7643	1.39006
ENSSSCT00000022992.3	906	586.072	0	0
ENSSSCT00000062135.3	2600	2280.05	1.3375	0.0376079
ENSSSCT00000043243.3	2678	2358.05	0	0
ENSSSCT00000045677.3	2768	2448.05	0	0
ENSSSCT00000086242.2	2050	1730.05	0	0
ENSSSCT00000038861.3	3102	2782.05	0	0
ENSSSCT00000077906.2	3072	2752.05	0	0
ENSSSCT00000103189.1	3057	2737.05	0	0
ENSSSCT00000087031.2	3033	2713.05	0	0
ENSSSCT00000093296.1	2952	2632.05	0	0
ENSSSCT00000055141.2	936	616.051	0	0
ENSSSCT00000049687.2	912	592.072	0	0
ENSSSCT00000037750.3	843	523.091	0	0
ENSSSCT00000082986.1	936	616.051	0	0
ENSSSCT00000040865.1	915	595.072	0	0
ENSSSCT00000062219.2	819	499.127	0	0
ENSSSCT00000058071.3	753	433.191	0	0
ENSSSCT00000054418.2	927	607.051	0	0
ENSSSCT00000041919.1	945	625.051	0	0
ENSSSCT00000105506.1	1860	1540.05	17.483	0.727801
ENSSSCT00000035619.3	1863	1543.05	16.9402	0.703831
ENSSSCT00000049350.3	3176	2856.05	3	0.067342
ENSSSCT00000042464.2	4790	4470.05	3	0.0430268
ENSSSCT00000061908.2	6204	5884.05	0	0
ENSSSCT00000100236.1	3322	3002.05	6.0591	0.129396
ENSSSCT00000038342.3	3077	2757.05	18.4278	0.428508
ENSSSCT00000056515.3	4216	3896.05	0.0409642	0.000674079
ENSSSCT00000076132.2	5190	4870.05	152.67	2.00979
ENSSSCT00000077611.1	3252	2932.05	2.09102	0.0457213
ENSSSCT00000093015.1	249	47.2493	0	0
ENSSSCT00000052290.2	474	162.166	0	0
ENSSSCT00000099894.1	366	87.9143	0	0
ENSSSCT00000093647.1	378	93.8692	0	0
ENSSSCT00000042070.3	2175	1855.05	0	0
ENSSSCT00000096278.1	411	113.83	0	0
ENSSSCT00000051275.2	510	194.096	0	0
ENSSSCT00000067533.1	1575	1255.05	0	0
ENSSSCT00000043691.2	978	658.051	4.19788	0.408979
ENSSSCT00000063273.2	1023	703.051	0	0
ENSSSCT00000088994.2	1722	1402.05	0	0
ENSSSCT00000076027.2	1683	1363.05	0	0
ENSSSCT00000060315.3	2153	1833.05	0	0
ENSSSCT00000064056.3	2027	1707.05	0	0
ENSSSCT00000078243.2	1985	1665.05	0	0
ENSSSCT00000069175.2	2171	1851.05	0	0
ENSSSCT00000090125.2	1985	1665.05	0	0
ENSSSCT00000066861.2	1982	1662.05	0	0
ENSSSCT00000063139.2	5081	4761.05	3	0.040397
ENSSSCT00000037753.1	927	607.051	0	0
ENSSSCT00000027608.4	789	469.16	0	0
ENSSSCT00000094130.1	939	619.051	0	0
ENSSSCT00000047022.1	996	676.051	0	0
ENSSSCT00000053645.1	948	628.051	0	0
ENSSSCT00000065870.1	381	95.446	0	0
ENSSSCT00000048260.2	906	586.072	0	0
ENSSSCT00000096339.1	795	475.143	0	0
ENSSSCT00000030107.4	657	337.538	0	0
ENSSSCT00000070318.2	651	331.561	0	0
ENSSSCT00000092139.1	963	643.051	0	0
ENSSSCT00000064082.1	939	619.051	0	0
ENSSSCT00000053385.3	336	74.9089	0	0
ENSSSCT00000043493.1	939	619.051	0	0
ENSSSCT00000100943.1	930	610.051	0	0
ENSSSCT00000057066.3	683	363.402	0	0
ENSSSCT00000052021.3	336	74.9089	0	0
ENSSSCT00000105059.1	957	637.051	0	0
ENSSSCT00000047970.1	963	643.051	0	0
ENSSSCT00000041505.2	981	661.051	0	0
ENSSSCT00000041404.2	927	607.051	0	0
ENSSSCT00000045255.2	933	613.051	0	0
ENSSSCT00000031577.3	945	625.051	0	0
ENSSSCT00000047916.2	459	149.654	0	0
ENSSSCT00000035967.4	2169	1849.05	0	0
ENSSSCT00000044736.3	1260	940.051	32.0757	2.18754
ENSSSCT00000065762.3	3370	3050.05	0	0
ENSSSCT00000104640.1	3456	3136.05	0	0
ENSSSCT00000079493.2	3435	3115.05	0	0
ENSSSCT00000091744.1	892	572.072	0	0
ENSSSCT00000096442.1	5097	4777.05	0	0
ENSSSCT00000045251.3	999	679.051	30.5461	2.88393
ENSSSCT00000047800.3	1590	1270.05	0	0
ENSSSCT00000066138.2	945	625.051	0	0
ENSSSCT00000104175.1	1179	859.051	0	0
ENSSSCT00000022749.4	1397	1077.05	0	0
ENSSSCT00000106393.1	714	394.323	0	0
ENSSSCT00000105175.1	966	646.051	0	0
ENSSSCT00000094398.1	1059	739.051	0	0
ENSSSCT00000093336.1	843	523.091	0	0
ENSSSCT00000039727.3	966	646.051	0	0
ENSSSCT00000094495.1	963	643.051	0	0
ENSSSCT00000046713.2	954	634.051	0	0
ENSSSCT00000059121.1	957	637.051	0	0
ENSSSCT00000063410.1	939	619.051	0	0
ENSSSCT00000059513.3	4995	4675.05	0	0
ENSSSCT00000103084.1	4934	4614.05	0	0
ENSSSCT00000047164.3	501	185.927	0	0
ENSSSCT00000099349.1	807	487.127	0	0
ENSSSCT00000048670.3	2388	2068.05	14	0.434008
ENSSSCT00000101135.1	624	304.717	0	0
ENSSSCT00000090228.2	1122	802.051	0	0
ENSSSCT00000087405.1	951	631.051	0	0
ENSSSCT00000042039.2	945	625.051	0	0
ENSSSCT00000030781.2	711	391.323	0	0
ENSSSCT00000069136.1	3006	2686.05	2.06851	0.0493713
ENSSSCT00000027478.2	711	391.323	0	0
ENSSSCT00000093529.1	699	379.35	0	0
ENSSSCT00000092071.1	186	25.9187	0	0
ENSSSCT00000001391.3	927	607.051	0	0
ENSSSCT00000092433.1	186	25.9187	0	0
ENSSSCT00000029340.2	858	538.072	0	0
ENSSSCT00000067283.1	1398	1078.05	0	0
ENSSSCT00000074420.1	372	90.8434	0	0
ENSSSCT00000068046.1	1398	1078.05	0	0
ENSSSCT00000071770.1	1398	1078.05	0	0
ENSSSCT00000082910.1	1283	963.051	0	0
ENSSSCT00000098260.1	1398	1078.05	0	0
ENSSSCT00000095850.1	1209	889.051	0	0
ENSSSCT00000082178.2	1176	856.051	0	0
ENSSSCT00000100398.1	1125	805.051	0	0
ENSSSCT00000068405.2	1398	1078.05	0	0
ENSSSCT00000105260.1	1398	1078.05	0	0
ENSSSCT00000106498.1	1305	985.051	0	0
ENSSSCT00000063121.3	1236	916.051	0	0
ENSSSCT00000063917.3	1191	871.051	0	0
ENSSSCT00000090336.1	1398	1078.05	0	0
ENSSSCT00000086023.1	1398	1078.05	0	0
ENSSSCT00000062593.2	1893	1573.05	0	0
ENSSSCT00000105582.1	1219	899.051	0	0
