target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	58.6584	0	0
ENSSSCT00000078200.1	291	58.6584	0	0
ENSSSCT00000070967.1	291	58.6584	0	0
ENSSSCT00000038066.2	288	58.0964	0	0
ENSSSCT00000060400.2	285	56.9434	1	1.67097
ENSSSCT00000032004.3	300	61.2443	0	0
ENSSSCT00000069631.1	285	56.9434	0	0
ENSSSCT00000084172.1	591	251.911	0	0
ENSSSCT00000010999.5	939	598.094	0	0
ENSSSCT00000019660.4	955	614.094	68872	10671.4
ENSSSCT00000019664.4	1042	701.094	39980	5425.99
ENSSSCT00000019670.1	1545	1204.09	872218	68925
ENSSSCT00000019673.1	688	347.583	169716	46459.7
ENSSSCT00000019675.1	204	32.8698	2783	8056.16
ENSSSCT00000019676.1	681	340.618	126585	35361.1
ENSSSCT00000019677.1	784	443.318	240508	51621
ENSSSCT00000019679.3	346	75.0811	5739	7273.07
ENSSSCT00000019681.2	297	60.3013	8550	13491.2
ENSSSCT00000019682.3	1378	1037.09	97206	8918.4
ENSSSCT00000019686.3	1821	1480.09	58664	3771.33
ENSSSCT00000019687.1	528	192.527	5541	2738.47
ENSSSCT00000019689.3	1140	799.094	80754	9615.64
ENSSSCT00000099167.1	918	577.114	0	0
ENSSSCT00000091307.1	939	598.094	0	0
ENSSSCT00000046204.2	939	598.094	0	0
ENSSSCT00000073435.1	240	45.1966	0	0
ENSSSCT00000072658.1	939	598.094	0	0
ENSSSCT00000102462.1	423	111.966	0	0
ENSSSCT00000040563.4	1624	1283.09	0	0
ENSSSCT00000047353.2	1143	802.094	0	0
ENSSSCT00000104769.1	1398	1057.09	0	0
ENSSSCT00000103607.1	1176	835.094	0	0
ENSSSCT00000097872.1	1125	784.094	0	0
ENSSSCT00000056752.3	3244	2903.09	31.1207	1.02
ENSSSCT00000056762.3	3471	3130.09	55.1558	1.67666
ENSSSCT00000096492.1	924	583.114	0	0
ENSSSCT00000103627.1	1176	835.094	0	0
ENSSSCT00000100545.1	1398	1057.09	0	0
ENSSSCT00000079227.1	1398	1057.09	0	0
ENSSSCT00000080413.2	1152	811.094	0	0
ENSSSCT00000040927.2	498	166.418	1	0.571757
ENSSSCT00000074869.2	2764	2423.09	0	0
ENSSSCT00000063508.3	402	99.2395	0	0
ENSSSCT00000100361.1	2163	1822.09	1	0.0522205
ENSSSCT00000095067.1	900	559.134	0	0
ENSSSCT00000038958.2	2079	1738.09	0	0
