target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	60	0	0
ENSSSCT00000078200.1	291	60	0	0
ENSSSCT00000070967.1	291	60	0	0
ENSSSCT00000038066.2	288	59.1697	0	0
ENSSSCT00000060400.2	285	58.2452	0	0
ENSSSCT00000032004.3	300	63.0968	0	0
ENSSSCT00000069631.1	285	58.2452	0	0
ENSSSCT00000084172.1	591	263.641	0	0
ENSSSCT00000010999.5	939	610.487	0	0
ENSSSCT00000019660.4	955	626.487	108781	11702.7
ENSSSCT00000019664.4	1042	713.465	93697	8851.09
ENSSSCT00000019670.1	1545	1216.47	938678	52006.9
ENSSSCT00000019673.1	688	359.793	239064	44782.2
ENSSSCT00000019675.1	204	32.723	5297	10909.9
ENSSSCT00000019676.1	681	352.805	150020	28658.8
ENSSSCT00000019677.1	784	455.612	292413	43255.9
ENSSSCT00000019679.3	346	77.955	11836	10233
ENSSSCT00000019681.2	297	62.1544	17990	19507.6
ENSSSCT00000019682.3	1378	1049.47	131264	8429.88
ENSSSCT00000019686.3	1821	1492.47	112210	5067.24
ENSSSCT00000019687.1	528	203.24	9121	3024.66
ENSSSCT00000019689.3	1140	811.465	128037	10634.3
ENSSSCT00000099167.1	918	589.487	0	0
ENSSSCT00000091307.1	939	610.487	0	0
ENSSSCT00000046204.2	939	610.487	0	0
ENSSSCT00000073435.1	240	45.2272	0	0
ENSSSCT00000072658.1	939	610.487	0	0
ENSSSCT00000102462.1	423	117.402	0	0
ENSSSCT00000040563.4	1624	1295.47	0	0
ENSSSCT00000047353.2	1143	814.465	0	0
ENSSSCT00000104769.1	1398	1069.47	0	0
ENSSSCT00000103607.1	1176	847.465	0	0
ENSSSCT00000097872.1	1125	796.465	0	0
ENSSSCT00000056752.3	3244	2915.47	21.3962	0.494621
ENSSSCT00000056762.3	3471	3142.47	77.8564	1.66981
ENSSSCT00000096492.1	924	595.487	0	0
ENSSSCT00000103627.1	1176	847.465	0	0
ENSSSCT00000100545.1	1398	1069.47	0	0
ENSSSCT00000079227.1	1398	1069.47	0	0
ENSSSCT00000080413.2	1152	823.465	0	0
ENSSSCT00000040927.2	498	175.839	0	0
ENSSSCT00000074869.2	2764	2435.47	0	0
ENSSSCT00000063508.3	402	104.328	0	0
ENSSSCT00000100361.1	2163	1834.47	5	0.183698
ENSSSCT00000095067.1	900	571.487	0	0
ENSSSCT00000038958.2	2079	1750.47	0	0
ENSSSCT00000082576.1	453	138.857	1	0.485372
ENSSSCT00000048930.2	2079	1750.47	0	0
ENSSSCT00000062908.2	951	622.487	0	0
ENSSSCT00000045484.3	1729	1400.47	7.55237	0.363458
ENSSSCT00000051712.3	3204	2875.47	24.7205	0.57942
ENSSSCT00000076493.1	770	441.612	0	0
ENSSSCT00000035684.4	522	197.655	0	0
ENSSSCT00000062384.1	522	197.655	0	0
ENSSSCT00000044872.1	441	129.776	0	0
ENSSSCT00000041794.1	435	125.584	0	0
ENSSSCT00000051780.2	5708	5379.47	7	0.0877006
ENSSSCT00000106884.1	393	99.1263	0	0
ENSSSCT00000105743.1	1053	724.465	0	0
ENSSSCT00000054823.3	1041	712.465	3	0.283793
ENSSSCT00000051915.2	927	598.487	0	0
ENSSSCT00000082557.2	1282	953.465	0	0
ENSSSCT00000064112.3	1276	947.465	0	0
ENSSSCT00000100226.1	1183	854.465	46.5674	3.67309
ENSSSCT00000062158.2	552	225.842	0	0
ENSSSCT00000013322.5	1915	1586.47	2378.64	101.051
ENSSSCT00000063424.3	2634	2305.47	0	0
ENSSSCT00000046322.2	4392	4063.47	213.665	3.54389
ENSSSCT00000013323.4	5089	4760.47	398.412	5.64062
ENSSSCT00000045348.2	8217	7888.47	48.4255	0.413738
ENSSSCT00000103634.1	948	619.487	0	0
ENSSSCT00000010416.5	3303	2974.47	0	0
