target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	57.868	0	0
ENSSSCT00000078200.1	291	57.868	0	0
ENSSSCT00000070967.1	291	57.868	0	0
ENSSSCT00000038066.2	288	57.2355	0	0
ENSSSCT00000060400.2	285	56.4301	0	0
ENSSSCT00000032004.3	300	60.0648	0	0
ENSSSCT00000069631.1	285	56.4301	0	0
ENSSSCT00000084172.1	591	257.423	0	0
ENSSSCT00000010999.5	939	604.086	0	0
ENSSSCT00000019660.4	955	620.086	75953	8814.82
ENSSSCT00000019664.4	1042	707.042	66949	6814.28
ENSSSCT00000019670.1	1545	1210.04	934936	55603.5
ENSSSCT00000019673.1	688	353.41	196451	40003.4
ENSSSCT00000019675.1	204	32.8821	3938	8618.6
ENSSSCT00000019676.1	681	346.422	144721	30064
ENSSSCT00000019677.1	784	449.26	261164	41834.7
ENSSSCT00000019679.3	346	73.4416	7908	7748.99
ENSSSCT00000019681.2	297	59.2915	13243	16073.6
ENSSSCT00000019682.3	1378	1043.04	122629	8460.81
ENSSSCT00000019686.3	1821	1486.04	92256	4467.7
ENSSSCT00000019687.1	528	197.015	8335	3044.58
ENSSSCT00000019689.3	1140	805.042	93722	8378.07
ENSSSCT00000099167.1	918	583.086	0	0
ENSSSCT00000091307.1	939	604.086	0	0
ENSSSCT00000046204.2	939	604.086	0	0
ENSSSCT00000073435.1	240	45.0803	0	0
ENSSSCT00000072658.1	939	604.086	0	0
ENSSSCT00000102462.1	423	112.121	0	0
ENSSSCT00000040563.4	1624	1289.04	0	0
ENSSSCT00000047353.2	1143	808.042	0	0
ENSSSCT00000104769.1	1398	1063.04	0	0
ENSSSCT00000103607.1	1176	841.042	0	0
ENSSSCT00000097872.1	1125	790.042	0	0
ENSSSCT00000056752.3	3244	2909.04	49.4691	1.22378
ENSSSCT00000056762.3	3471	3136.04	46.6423	1.07033
ENSSSCT00000096492.1	924	589.086	0	0
ENSSSCT00000103627.1	1176	841.042	0	0
ENSSSCT00000100545.1	1398	1063.04	0	0
ENSSSCT00000079227.1	1398	1063.04	0	0
ENSSSCT00000080413.2	1152	817.042	0	0
ENSSSCT00000040927.2	498	170.095	0	0
ENSSSCT00000074869.2	2764	2429.04	3.99934	0.118488
ENSSSCT00000063508.3	402	99.1187	0	0
ENSSSCT00000100361.1	2163	1828.04	3	0.118102
ENSSSCT00000095067.1	900	565.106	0	0
ENSSSCT00000038958.2	2079	1744.04	0	0
ENSSSCT00000082576.1	453	132.89	1	0.541539
ENSSSCT00000048930.2	2079	1744.04	0	0
ENSSSCT00000062908.2	951	616.086	0	0
ENSSSCT00000045484.3	1729	1394.04	3.23719	0.167114
ENSSSCT00000051712.3	3204	2869.04	17.9872	0.451178
ENSSSCT00000076493.1	770	435.291	0	0
ENSSSCT00000035684.4	522	191.596	0	0
ENSSSCT00000062384.1	522	191.596	0	0
ENSSSCT00000044872.1	441	124.282	0	0
ENSSSCT00000041794.1	435	120.204	0	0
ENSSSCT00000051780.2	5708	5373.04	3	0.0401811
ENSSSCT00000106884.1	393	94.1971	1	0.763982
ENSSSCT00000105743.1	1053	718.042	0	0
ENSSSCT00000054823.3	1041	706.042	1	0.101927
ENSSSCT00000051915.2	927	592.086	0	0
ENSSSCT00000082557.2	1282	947.042	0	0
ENSSSCT00000064112.3	1276	941.042	0	0
ENSSSCT00000100226.1	1183	848.042	55.766	4.73231
ENSSSCT00000062158.2	552	219.632	0	0
ENSSSCT00000013322.5	1915	1580.04	1756	79.9791
ENSSSCT00000063424.3	2634	2299.04	1	0.0313021
ENSSSCT00000046322.2	4392	4057.04	95.7001	1.69755
ENSSSCT00000013323.4	5089	4754.04	441.987	6.69062
ENSSSCT00000045348.2	8217	7882.04	35.4013	0.323222
ENSSSCT00000103634.1	948	613.086	0	0
ENSSSCT00000010416.5	3303	2968.04	0	0
ENSSSCT00000096504.1	3599	3264.04	0	0
ENSSSCT00000054748.3	3605	3270.04	0	0
ENSSSCT00000053874.2	987	652.042	0	0
ENSSSCT00000098136.1	519	188.86	0	0
ENSSSCT00000064380.2	372	83.7874	0	0
ENSSSCT00000033772.4	557	224.429	0	0
ENSSSCT00000014432.3	930	595.086	0	0
ENSSSCT00000095963.1	3048	2713.04	0	0
ENSSSCT00000054731.3	2148	1813.04	0	0
ENSSSCT00000061495.2	954	619.086	0	0
ENSSSCT00000038050.2	927	592.086	0	0
ENSSSCT00000084775.1	954	619.086	0	0
ENSSSCT00000054929.3	945	610.086	0	0
ENSSSCT00000083016.1	933	598.086	0	0
ENSSSCT00000106904.1	954	619.086	0	0
ENSSSCT00000058052.3	1242	907.042	1.54966	0.122951
ENSSSCT00000103398.1	954	619.086	0	0
ENSSSCT00000060080.3	891	556.126	0	0
ENSSSCT00000079788.1	879	544.126	0	0
ENSSSCT00000065393.1	954	619.086	0	0
ENSSSCT00000066233.1	942	607.086	0	0
ENSSSCT00000038428.3	4061	3726.04	8.61457	0.166382
ENSSSCT00000106722.1	4123	3788.04	12.8702	0.244507
ENSSSCT00000038613.2	933	598.086	0	0
ENSSSCT00000086017.1	6515	6180.04	4	0.0465789
ENSSSCT00000094411.1	918	583.086	0	0
ENSSSCT00000093195.1	939	604.086	0	0
ENSSSCT00000060483.3	2989	2654.04	13.1741	0.357218
ENSSSCT00000044015.3	3606	3271.04	82.8112	1.8219
ENSSSCT00000098151.1	906	571.106	0	0
ENSSSCT00000099877.1	939	604.086	0	0
ENSSSCT00000055383.1	936	601.086	0	0
ENSSSCT00000006440.5	1159	824.042	0	0
ENSSSCT00000039853.3	3075	2740.04	0	0
ENSSSCT00000075544.1	2162	1827.04	0	0
ENSSSCT00000106739.1	918	583.086	0	0
ENSSSCT00000094696.1	1287	952.042	1456	110.059
ENSSSCT00000074527.1	936	601.086	0	0
ENSSSCT00000095412.1	936	601.086	0	0
ENSSSCT00000057638.3	1661	1326.04	8.45047	0.458611
ENSSSCT00000052749.3	2706	2371.04	20	0.607032
ENSSSCT00000072436.1	1410	1075.04	0	0
ENSSSCT00000100367.1	510	180.811	4	1.59205
ENSSSCT00000064678.2	936	601.086	0	0
ENSSSCT00000097296.1	3397	3062.04	1.01573	0.023872
ENSSSCT00000093882.1	636	301.694	0	0
ENSSSCT00000061389.3	1622	1287.04	1017	56.8655
ENSSSCT00000047659.2	240	45.0803	0	0
ENSSSCT00000083630.1	936	601.086	0	0
ENSSSCT00000071514.2	1650	1315.04	58.8188	3.21883
ENSSSCT00000101381.1	777	442.276	9.63958	1.5685
ENSSSCT00000031202.3	1682	1347.04	24.3604	1.30144
ENSSSCT00000099316.1	1042	707.042	0	0
ENSSSCT00000058956.3	1192	857.042	0	0
ENSSSCT00000054707.3	1102	767.042	0	0
ENSSSCT00000096294.1	1027	692.042	0	0
ENSSSCT00000061829.3	1975	1640.04	6.77832	0.297432
ENSSSCT00000028884.4	2948	2613.04	85.968	2.36761
ENSSSCT00000048674.3	4533	4198.04	2696.25	46.2205
ENSSSCT00000059744.3	7520	7185.04	0	0
ENSSSCT00000029625.4	9608	9273.04	525.989	4.08202
