target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	57.2186	0	0
ENSSSCT00000078200.1	291	57.2186	0	0
ENSSSCT00000070967.1	291	57.2186	0	0
ENSSSCT00000038066.2	288	56.5538	0	0
ENSSSCT00000060400.2	285	55.704	0	0
ENSSSCT00000032004.3	300	59.9415	0	0
ENSSSCT00000069631.1	285	55.704	0	0
ENSSSCT00000084172.1	591	281.899	5	1.39963
ENSSSCT00000010999.5	939	628.848	0	0
ENSSSCT00000019660.4	955	644.823	79400	9716.66
ENSSSCT00000019664.4	1042	731.823	29627	3194.61
ENSSSCT00000019670.1	1545	1234.82	938799	59993.6
ENSSSCT00000019673.1	688	378.21	113521	23685.4
ENSSSCT00000019675.1	204	32.3868	2931	7141.43
ENSSSCT00000019676.1	681	371.224	73594	15643.8
ENSSSCT00000019677.1	784	474.013	250998	41784.7
ENSSSCT00000019679.3	346	77.68	8852	8992.26
ENSSSCT00000019681.2	297	58.8744	13700	18362.5
ENSSSCT00000019682.3	1378	1067.82	113123	8359.66
ENSSSCT00000019686.3	1821	1510.82	55343	2890.59
ENSSSCT00000019687.1	528	220.078	6027	2161.03
ENSSSCT00000019689.3	1140	829.823	78820	7495.28
ENSSSCT00000099167.1	918	607.895	0	0
ENSSSCT00000091307.1	939	628.848	0	0
ENSSSCT00000046204.2	939	628.848	0	0
ENSSSCT00000073435.1	240	43.5869	0	0
ENSSSCT00000072658.1	939	628.848	0	0
ENSSSCT00000102462.1	423	126.728	0	0
ENSSSCT00000040563.4	1624	1313.82	0	0
ENSSSCT00000047353.2	1143	832.823	0	0
ENSSSCT00000104769.1	1398	1087.82	0	0
ENSSSCT00000103607.1	1176	865.823	0	0
ENSSSCT00000097872.1	1125	814.823	0	0
ENSSSCT00000056752.3	3244	2933.82	24.4909	0.658731
ENSSSCT00000056762.3	3471	3160.82	81.2926	2.02949
ENSSSCT00000096492.1	924	613.872	1	0.128546
ENSSSCT00000103627.1	1176	865.823	0	0
ENSSSCT00000100545.1	1398	1087.82	0	0
ENSSSCT00000079227.1	1398	1087.82	0	0
ENSSSCT00000080413.2	1152	841.823	0	0
ENSSSCT00000040927.2	498	191.602	0	0
ENSSSCT00000074869.2	2764	2453.82	0	0
ENSSSCT00000063508.3	402	110.908	0	0
ENSSSCT00000100361.1	2163	1852.82	1	0.0425895
ENSSSCT00000095067.1	900	589.918	0	0
ENSSSCT00000038958.2	2079	1768.82	0	0
ENSSSCT00000082576.1	453	151.179	1	0.521969
ENSSSCT00000048930.2	2079	1768.82	0	0
ENSSSCT00000062908.2	951	640.848	0	0
ENSSSCT00000045484.3	1729	1418.82	5.39915	0.300285
ENSSSCT00000051712.3	3204	2893.82	10.8483	0.295821
ENSSSCT00000076493.1	770	460.067	0	0
ENSSSCT00000035684.4	522	214.263	0	0
ENSSSCT00000062384.1	522	214.263	0	0
ENSSSCT00000044872.1	441	140.929	0	0
ENSSSCT00000041794.1	435	136.151	0	0
ENSSSCT00000051780.2	5708	5397.82	1.01169	0.0147899
ENSSSCT00000106884.1	393	104.639	2.43668	1.83757
ENSSSCT00000105743.1	1053	742.823	0	0
ENSSSCT00000054823.3	1041	730.823	15.2908	1.65103
ENSSSCT00000051915.2	927	616.872	0	0
