target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	56.9602	0	0
ENSSSCT00000078200.1	291	56.9602	0	0
ENSSSCT00000070967.1	291	56.9602	0	0
ENSSSCT00000038066.2	288	56.1696	0	0
ENSSSCT00000060400.2	285	55.3074	0	0
ENSSSCT00000032004.3	300	59.4315	0	0
ENSSSCT00000069631.1	285	55.3074	0	0
ENSSSCT00000084172.1	591	262.235	0	0
ENSSSCT00000010999.5	939	609.149	0	0
ENSSSCT00000019660.4	955	625.132	112321	10873.9
ENSSSCT00000019664.4	1042	712.097	47107	4003.53
ENSSSCT00000019670.1	1545	1215.1	1.50401e+06	74909.4
ENSSSCT00000019673.1	688	358.521	245878	41505.1
ENSSSCT00000019675.1	204	30.4551	3474	6903.46
ENSSSCT00000019676.1	681	351.541	140236	24142.4
ENSSSCT00000019677.1	784	454.26	399200	53184.2
ENSSSCT00000019679.3	346	73.7548	11520	9452.77
ENSSSCT00000019681.2	297	58.5895	21192	21890.1
ENSSSCT00000019682.3	1378	1048.1	152603	8811.67
ENSSSCT00000019686.3	1821	1491.1	61436	2493.52
ENSSSCT00000019687.1	528	201.196	5541	1666.73
ENSSSCT00000019689.3	1140	810.097	132271	9881.53
ENSSSCT00000099167.1	918	588.149	0	0
ENSSSCT00000091307.1	939	609.149	0	0
ENSSSCT00000046204.2	939	609.149	0	0
ENSSSCT00000073435.1	240	43.2482	0	0
ENSSSCT00000072658.1	939	609.149	0	0
ENSSSCT00000102462.1	423	113.761	0	0
ENSSSCT00000040563.4	1624	1294.1	0	0
ENSSSCT00000047353.2	1143	813.097	0	0
ENSSSCT00000104769.1	1398	1068.1	0	0
ENSSSCT00000103607.1	1176	846.097	0	0
ENSSSCT00000097872.1	1125	795.097	0	0
ENSSSCT00000056752.3	3244	2914.1	56.6261	1.17601
ENSSSCT00000056762.3	3471	3141.1	64.1876	1.23671
ENSSSCT00000096492.1	924	594.149	0	0
ENSSSCT00000103627.1	1176	846.097	0	0
ENSSSCT00000100545.1	1398	1068.1	0	0
ENSSSCT00000079227.1	1398	1068.1	0	0
ENSSSCT00000080413.2	1152	822.097	0	0
ENSSSCT00000040927.2	498	174.018	0	0
ENSSSCT00000074869.2	2764	2434.1	0	0
ENSSSCT00000063508.3	402	100.227	0	0
ENSSSCT00000100361.1	2163	1833.1	8.88328	0.293281
ENSSSCT00000095067.1	900	570.149	0	0
ENSSSCT00000038958.2	2079	1749.1	0	0
ENSSSCT00000082576.1	453	136.112	0	0
ENSSSCT00000048930.2	2079	1749.1	0	0
ENSSSCT00000062908.2	951	621.132	0	0
ENSSSCT00000045484.3	1729	1399.1	1.38421	0.0598757
ENSSSCT00000051712.3	3204	2874.1	10.4321	0.219669
