target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	57.9023	0	0
ENSSSCT00000078200.1	291	57.9023	0	0
ENSSSCT00000070967.1	291	57.9023	0	0
ENSSSCT00000038066.2	288	57.0816	1	1.18763
ENSSSCT00000060400.2	285	56.2001	0	0
ENSSSCT00000032004.3	300	60.4657	1	1.12116
ENSSSCT00000069631.1	285	56.2001	0	0
ENSSSCT00000084172.1	591	275.245	0	0
ENSSSCT00000010999.5	939	622.376	0	0
ENSSSCT00000019660.4	955	638.376	96828	10282.6
ENSSSCT00000019664.4	1042	725.355	73769	6894.48
ENSSSCT00000019670.1	1545	1228.35	1.04423e+06	57630
ENSSSCT00000019673.1	688	371.741	212005	38661.9
ENSSSCT00000019675.1	204	31.4627	5561	11982.1
ENSSSCT00000019676.1	681	364.787	153324	28493.7
ENSSSCT00000019677.1	784	467.529	300595	43586.4
ENSSSCT00000019679.3	346	76.5089	10138	8982.93
ENSSSCT00000019681.2	297	59.5095	15912	18126.6
ENSSSCT00000019682.3	1378	1061.35	149103	9523.66
ENSSSCT00000019686.3	1821	1504.35	113286	5105.1
ENSSSCT00000019687.1	528	213.693	11620	3686.33
ENSSSCT00000019689.3	1140	823.355	122181	10059.9
ENSSSCT00000099167.1	918	601.395	0	0
ENSSSCT00000091307.1	939	622.376	0	0
ENSSSCT00000046204.2	939	622.376	0	0
ENSSSCT00000073435.1	240	42.76	0	0
ENSSSCT00000072658.1	939	622.376	0	0
ENSSSCT00000102462.1	423	121.785	0	0
ENSSSCT00000040563.4	1624	1307.35	0	0
ENSSSCT00000047353.2	1143	826.355	0	0
ENSSSCT00000104769.1	1398	1081.35	0	0
ENSSSCT00000103607.1	1176	859.355	0	0
ENSSSCT00000097872.1	1125	808.355	0	0
ENSSSCT00000056752.3	3244	2927.35	56.6915	1.31287
ENSSSCT00000056762.3	3471	3154.35	87.3085	1.87639
ENSSSCT00000096492.1	924	607.376	2	0.223229
ENSSSCT00000103627.1	1176	859.355	0	0
ENSSSCT00000100545.1	1398	1081.35	0	0
ENSSSCT00000079227.1	1398	1081.35	0	0
ENSSSCT00000080413.2	1152	835.355	0	0
ENSSSCT00000040927.2	498	185.289	0	0
ENSSSCT00000074869.2	2764	2447.35	1.00787	0.027918
ENSSSCT00000063508.3	402	106.796	0	0
ENSSSCT00000100361.1	2163	1846.35	8	0.293733
ENSSSCT00000095067.1	900	583.395	0	0
ENSSSCT00000038958.2	2079	1762.35	0	0
ENSSSCT00000082576.1	453	145.425	1.36082	0.634367
ENSSSCT00000048930.2	2079	1762.35	0	0
ENSSSCT00000062908.2	951	634.376	0	0
ENSSSCT00000045484.3	1729	1412.35	8.71191	0.418165
ENSSSCT00000051712.3	3204	2887.35	21.2776	0.499575
ENSSSCT00000076493.1	770	453.558	0	0
ENSSSCT00000035684.4	522	207.919	0	0
ENSSSCT00000062384.1	522	207.919	0	0
ENSSSCT00000044872.1	441	135.464	0	0
ENSSSCT00000041794.1	435	130.862	0	0
ENSSSCT00000051780.2	5708	5391.35	8	0.100594
ENSSSCT00000106884.1	393	101.137	0	0
ENSSSCT00000105743.1	1053	736.355	0	0
ENSSSCT00000054823.3	1041	724.355	9	0.842304
ENSSSCT00000051915.2	927	610.376	0	0
ENSSSCT00000082557.2	1282	965.355	0	0
ENSSSCT00000064112.3	1276	959.355	4.41079	0.311684
ENSSSCT00000100226.1	1183	866.355	31.7409	2.48371
ENSSSCT00000062158.2	552	236.949	0	0
ENSSSCT00000013322.5	1915	1598.35	1551.61	65.8092
ENSSSCT00000063424.3	2634	2317.35	0	0
ENSSSCT00000046322.2	4392	4075.35	20.0585	0.333665
ENSSSCT00000013323.4	5089	4772.35	574.367	8.15896
ENSSSCT00000045348.2	8217	7900.35	29.5744	0.253774
ENSSSCT00000103634.1	948	631.376	0	0
ENSSSCT00000010416.5	3303	2986.35	0	0
