target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	57.2434	0.333333	0.372956
ENSSSCT00000078200.1	291	57.2434	0.333333	0.372956
ENSSSCT00000070967.1	291	57.2434	0.333333	0.372956
ENSSSCT00000038066.2	288	56.5795	0	0
ENSSSCT00000060400.2	285	55.5146	0	0
ENSSSCT00000032004.3	300	59.7502	0	0
ENSSSCT00000069631.1	285	55.5146	0	0
ENSSSCT00000084172.1	591	278.36	0	0
ENSSSCT00000010999.5	939	625.509	0	0
ENSSSCT00000019660.4	955	641.483	71691	7157.88
ENSSSCT00000019664.4	1042	728.483	47368	4164.57
ENSSSCT00000019670.1	1545	1231.48	881404	45840.7
ENSSSCT00000019673.1	688	374.844	156872	26804
ENSSSCT00000019675.1	204	31.253	3778	7742.4
ENSSSCT00000019676.1	681	367.844	128733	22414.6
ENSSSCT00000019677.1	784	470.658	262626	35738.6
ENSSSCT00000019679.3	346	76.3765	7999	6707.81
ENSSSCT00000019681.2	297	58.8798	11453	12458.3
ENSSSCT00000019682.3	1378	1064.48	94228	5669.52
ENSSSCT00000019686.3	1821	1507.48	65202	2770.21
ENSSSCT00000019687.1	528	216.946	9332	2755.03
ENSSSCT00000019689.3	1140	826.483	75890	5881.06
ENSSSCT00000099167.1	918	604.534	0	0
ENSSSCT00000091307.1	939	625.509	0	0
ENSSSCT00000046204.2	939	625.509	0	0
ENSSSCT00000073435.1	240	43.192	0	0
ENSSSCT00000072658.1	939	625.509	0	0
ENSSSCT00000102462.1	423	124.027	0	0
ENSSSCT00000040563.4	1624	1310.48	0	0
ENSSSCT00000047353.2	1143	829.483	0	0
ENSSSCT00000104769.1	1398	1084.48	0	0
ENSSSCT00000103607.1	1176	862.483	0	0
ENSSSCT00000097872.1	1125	811.483	0	0
ENSSSCT00000056752.3	3244	2930.48	24.9847	0.546058
ENSSSCT00000056762.3	3471	3157.48	150.069	3.04407
ENSSSCT00000096492.1	924	610.534	0	0
ENSSSCT00000103627.1	1176	862.483	0	0
ENSSSCT00000100545.1	1398	1084.48	0	0
ENSSSCT00000079227.1	1398	1084.48	0	0
ENSSSCT00000080413.2	1152	838.483	0	0
ENSSSCT00000040927.2	498	188.426	0	0
ENSSSCT00000074869.2	2764	2450.48	1.00269	0.026207
ENSSSCT00000063508.3	402	108.795	0	0
ENSSSCT00000100361.1	2163	1849.48	3.31336	0.114742
ENSSSCT00000095067.1	900	586.534	0	0
ENSSSCT00000038958.2	2079	1765.48	0	0
ENSSSCT00000082576.1	453	148.037	0	0
ENSSSCT00000048930.2	2079	1765.48	0	0
ENSSSCT00000062908.2	951	637.509	0	0
ENSSSCT00000045484.3	1729	1415.48	3.40167	0.153919
ENSSSCT00000051712.3	3204	2890.48	20.9922	0.465149
ENSSSCT00000076493.1	770	456.695	0	0
ENSSSCT00000035684.4	522	211.159	0	0
ENSSSCT00000062384.1	522	211.159	0	0
ENSSSCT00000044872.1	441	137.959	0	0
ENSSSCT00000041794.1	435	133.225	0	0
ENSSSCT00000051780.2	5708	5394.48	6.01928	0.071466
ENSSSCT00000106884.1	393	102.752	0.579278	0.361078
ENSSSCT00000105743.1	1053	739.483	0	0
ENSSSCT00000054823.3	1041	727.483	8.15132	0.717645
ENSSSCT00000051915.2	927	613.534	0	0
ENSSSCT00000082557.2	1282	968.483	0	0
ENSSSCT00000064112.3	1276	962.483	0	0
ENSSSCT00000100226.1	1183	869.483	48.9048	3.60243
ENSSSCT00000062158.2	552	240.122	0	0
ENSSSCT00000013322.5	1915	1601.48	1997.58	79.8891
ENSSSCT00000063424.3	2634	2320.48	0	0
ENSSSCT00000046322.2	4392	4078.48	116.194	1.82469
ENSSSCT00000013323.4	5089	4775.48	383.244	5.13999
ENSSSCT00000045348.2	8217	7903.48	33.1004	0.268237
ENSSSCT00000103634.1	948	634.509	0	0
ENSSSCT00000010416.5	3303	2989.48	0	0
ENSSSCT00000096504.1	3599	3285.48	0	0
ENSSSCT00000054748.3	3605	3291.48	0	0
ENSSSCT00000053874.2	987	673.483	0	0
ENSSSCT00000098136.1	519	208.271	0	0
ENSSSCT00000064380.2	372	89.883	0	0
ENSSSCT00000033772.4	557	244.993	0	0
ENSSSCT00000014432.3	930	616.509	0	0
ENSSSCT00000095963.1	3048	2734.48	1.81596	0.0425339
ENSSSCT00000054731.3	2148	1834.48	0	0
ENSSSCT00000061495.2	954	640.509	0	0
ENSSSCT00000038050.2	927	613.534	0	0
ENSSSCT00000084775.1	954	640.509	0	0
ENSSSCT00000054929.3	945	631.509	0	0
ENSSSCT00000083016.1	933	619.509	0	0
ENSSSCT00000106904.1	954	640.509	0	0
ENSSSCT00000058052.3	1242	928.483	1.12005	0.0772626
ENSSSCT00000103398.1	954	640.509	0	0
ENSSSCT00000060080.3	891	577.534	0	0
ENSSSCT00000079788.1	879	565.534	0	0
ENSSSCT00000065393.1	954	640.509	0	0
ENSSSCT00000066233.1	942	628.509	0	0
ENSSSCT00000038428.3	4061	3747.48	17.2362	0.294582
ENSSSCT00000106722.1	4123	3809.48	14.1033	0.237115
ENSSSCT00000038613.2	933	619.509	0	0
ENSSSCT00000086017.1	6515	6201.48	5.00059	0.0516453
ENSSSCT00000094411.1	918	604.534	0	0
ENSSSCT00000093195.1	939	625.509	0	0
ENSSSCT00000060483.3	2989	2675.48	21.2494	0.508686
ENSSSCT00000044015.3	3606	3292.48	166.708	3.24293
ENSSSCT00000098151.1	906	592.534	0	0
ENSSSCT00000099877.1	939	625.509	0	0
ENSSSCT00000055383.1	936	622.509	0	0
ENSSSCT00000006440.5	1159	845.483	0	0
ENSSSCT00000039853.3	3075	2761.48	0	0
ENSSSCT00000075544.1	2162	1848.48	0	0
ENSSSCT00000106739.1	918	604.534	0	0
ENSSSCT00000094696.1	1287	973.483	2596	170.797
ENSSSCT00000074527.1	936	622.509	0	0
ENSSSCT00000095412.1	936	622.509	0	0
ENSSSCT00000057638.3	1661	1347.48	10.7667	0.511755
ENSSSCT00000052749.3	2706	2392.48	35	0.936966
ENSSSCT00000072436.1	1410	1096.48	0	0
ENSSSCT00000100367.1	510	199.777	4	1.28239
ENSSSCT00000064678.2	936	622.509	0	0
ENSSSCT00000097296.1	3397	3083.48	2.00358	0.041617
ENSSSCT00000093882.1	636	322.975	0	0
ENSSSCT00000061389.3	1622	1308.48	1004	49.144
ENSSSCT00000047659.2	240	43.192	0	0
ENSSSCT00000083630.1	936	622.509	0	0
ENSSSCT00000071514.2	1650	1336.48	56.3824	2.702
ENSSSCT00000101381.1	777	463.658	18.8459	2.60331
ENSSSCT00000031202.3	1682	1368.48	31.1541	1.45808
ENSSSCT00000099316.1	1042	728.483	0	0
ENSSSCT00000058956.3	1192	878.483	0	0
ENSSSCT00000054707.3	1102	788.483	0	0
ENSSSCT00000096294.1	1027	713.483	0	0
ENSSSCT00000061829.3	1975	1661.48	22.7709	0.877787
ENSSSCT00000028884.4	2948	2634.48	136.4	3.31607
ENSSSCT00000048674.3	4533	4219.48	3450.83	52.3804
ENSSSCT00000059744.3	7520	7206.48	0	0
ENSSSCT00000029625.4	9608	9294.48	220.486	1.51936
ENSSSCT00000060930.3	9476	9162.48	1000.96	6.99692
ENSSSCT00000013516.4	2433	2119.48	125	3.77733
ENSSSCT00000049889.2	6954	6640.48	6.01961	0.0580595
ENSSSCT00000104902.1	939	625.509	0	0
ENSSSCT00000053946.2	963	649.483	0	0
