target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	59.6097	0	0
ENSSSCT00000078200.1	291	59.6097	0	0
ENSSSCT00000070967.1	291	59.6097	0	0
ENSSSCT00000038066.2	288	58.6951	0	0
ENSSSCT00000060400.2	285	57.9161	0	0
ENSSSCT00000032004.3	300	62.3627	0	0
ENSSSCT00000069631.1	285	57.9161	0	0
ENSSSCT00000084172.1	591	278.399	0	0
ENSSSCT00000010999.5	939	625.489	0	0
ENSSSCT00000019660.4	955	641.489	114586	11447.1
ENSSSCT00000019664.4	1042	728.448	73900	6501.31
ENSSSCT00000019670.1	1545	1231.45	1.29682e+06	67486.5
ENSSSCT00000019673.1	688	374.752	263160	45001.9
ENSSSCT00000019675.1	204	32.1856	6340	12623.6
ENSSSCT00000019676.1	681	367.763	171020	29801.2
ENSSSCT00000019677.1	784	470.586	335517	45690.9
ENSSSCT00000019679.3	346	78.4215	12626	10317.8
ENSSSCT00000019681.2	297	61.4924	20547	21413.2
ENSSSCT00000019682.3	1378	1064.45	150827	9080.5
ENSSSCT00000019686.3	1821	1507.45	87867	3735.41
ENSSSCT00000019687.1	528	216.807	8413	2486.75
ENSSSCT00000019689.3	1140	826.448	126203	9786.09
ENSSSCT00000099167.1	918	604.508	0	0
ENSSSCT00000091307.1	939	625.489	0	0
ENSSSCT00000046204.2	939	625.489	0	0
ENSSSCT00000073435.1	240	45.347	0	0
ENSSSCT00000072658.1	939	625.489	0	0
ENSSSCT00000102462.1	423	124.467	0	0
ENSSSCT00000040563.4	1624	1310.45	0	0
ENSSSCT00000047353.2	1143	829.448	0	0
ENSSSCT00000104769.1	1398	1084.45	0	0
ENSSSCT00000103607.1	1176	862.448	0	0
ENSSSCT00000097872.1	1125	811.448	0	0
ENSSSCT00000056752.3	3244	2930.45	9.93296	0.21722
ENSSSCT00000056762.3	3471	3157.45	63.5785	1.29041
ENSSSCT00000096492.1	924	610.508	0	0
ENSSSCT00000103627.1	1176	862.448	0	0
ENSSSCT00000100545.1	1398	1084.45	0	0
ENSSSCT00000079227.1	1398	1084.45	0	0
ENSSSCT00000080413.2	1152	838.448	0	0
ENSSSCT00000040927.2	498	188.403	0	0
ENSSSCT00000074869.2	2764	2450.45	0	0
ENSSSCT00000063508.3	402	109.653	0	0
ENSSSCT00000100361.1	2163	1849.45	5.32505	0.184517
ENSSSCT00000095067.1	900	586.508	0	0
ENSSSCT00000038958.2	2079	1765.45	0	0
ENSSSCT00000082576.1	453	148.366	0	0
ENSSSCT00000048930.2	2079	1765.45	0	0
ENSSSCT00000062908.2	951	637.489	0	0
ENSSSCT00000045484.3	1729	1415.45	8.22293	0.372295
ENSSSCT00000051712.3	3204	2890.45	24.2064	0.536686
ENSSSCT00000076493.1	770	456.6	0	0
ENSSSCT00000035684.4	522	211.061	0	0
ENSSSCT00000062384.1	522	211.061	0	0
ENSSSCT00000044872.1	441	138.383	0	0
ENSSSCT00000041794.1	435	133.682	0	0
ENSSSCT00000051780.2	5708	5394.45	5	0.0593988
ENSSSCT00000106884.1	393	103.794	0	0
ENSSSCT00000105743.1	1053	739.448	0	0
ENSSSCT00000054823.3	1041	727.448	13	1.14524
ENSSSCT00000051915.2	927	613.508	0	0
ENSSSCT00000082557.2	1282	968.448	0	0
ENSSSCT00000064112.3	1276	962.448	0	0
ENSSSCT00000100226.1	1183	869.448	71.5442	5.27334
ENSSSCT00000062158.2	552	240.105	0	0
ENSSSCT00000013322.5	1915	1601.45	1900	76.0319
ENSSSCT00000063424.3	2634	2320.45	0	0
ENSSSCT00000046322.2	4392	4078.45	163.237	2.56494
ENSSSCT00000013323.4	5089	4775.45	475.991	6.38763
ENSSSCT00000045348.2	8217	7903.45	22.3664	0.181357
ENSSSCT00000103634.1	948	634.489	0	0
ENSSSCT00000010416.5	3303	2989.45	0	0
