target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	56.0078	0.333333	0.434694
ENSSSCT00000078200.1	291	56.0078	0.333333	0.434694
ENSSSCT00000070967.1	291	56.0078	0.333333	0.434694
ENSSSCT00000038066.2	288	55.309	0	0
ENSSSCT00000060400.2	285	54.5025	0	0
ENSSSCT00000032004.3	300	58.5474	1	1.24751
ENSSSCT00000069631.1	285	54.5025	0	0
ENSSSCT00000084172.1	591	259.519	1	0.281439
ENSSSCT00000010999.5	939	606.328	0	0
ENSSSCT00000019660.4	955	622.328	60644	7117.41
ENSSSCT00000019664.4	1042	709.328	25725	2648.88
ENSSSCT00000019670.1	1545	1212.33	733141	44169.3
ENSSSCT00000019673.1	688	355.704	89314	18339.4
ENSSSCT00000019675.1	204	32.7489	1647	3673.25
ENSSSCT00000019676.1	681	348.717	66909	14014.1
ENSSSCT00000019677.1	784	451.559	219586	35517.6
ENSSSCT00000019679.3	346	72.1657	5684	5752.76
ENSSSCT00000019681.2	297	57.786	10635	13442.1
ENSSSCT00000019682.3	1378	1045.33	90248	6305.77
ENSSSCT00000019686.3	1821	1488.33	38891	1908.55
ENSSSCT00000019687.1	528	198.52	3241	1192.42
ENSSSCT00000019689.3	1140	807.328	62798	5681.32
ENSSSCT00000099167.1	918	585.373	0	0
ENSSSCT00000091307.1	939	606.328	0	0
ENSSSCT00000046204.2	939	606.328	0	0
ENSSSCT00000073435.1	240	42.9444	0	0
ENSSSCT00000072658.1	939	606.328	0	0
ENSSSCT00000102462.1	423	111.93	0	0
ENSSSCT00000040563.4	1624	1291.33	0	0
ENSSSCT00000047353.2	1143	810.328	0	0
ENSSSCT00000104769.1	1398	1065.33	0	0
ENSSSCT00000103607.1	1176	843.328	0	0
ENSSSCT00000097872.1	1125	792.328	0	0
ENSSSCT00000056752.3	3244	2911.33	39.6737	0.995325
ENSSSCT00000056762.3	3471	3138.33	71.8075	1.67119
ENSSSCT00000096492.1	924	591.373	0	0
ENSSSCT00000103627.1	1176	843.328	0	0
ENSSSCT00000100545.1	1398	1065.33	0	0
ENSSSCT00000079227.1	1398	1065.33	0	0
ENSSSCT00000080413.2	1152	819.328	0	0
ENSSSCT00000040927.2	498	170.927	0	0
ENSSSCT00000074869.2	2764	2431.33	0	0
ENSSSCT00000063508.3	402	98.3923	0	0
ENSSSCT00000100361.1	2163	1830.33	4.42484	0.176572
ENSSSCT00000095067.1	900	567.373	0	0
ENSSSCT00000038958.2	2079	1746.33	0	0
ENSSSCT00000082576.1	453	133.476	0	0
ENSSSCT00000048930.2	2079	1746.33	0	0
ENSSSCT00000062908.2	951	618.328	0	0
ENSSSCT00000045484.3	1729	1396.33	4.79056	0.250583
ENSSSCT00000051712.3	3204	2871.33	6.95854	0.177006
ENSSSCT00000076493.1	770	437.576	0	0
ENSSSCT00000035684.4	522	192.834	0	0
ENSSSCT00000062384.1	522	192.834	0	0
ENSSSCT00000044872.1	441	124.414	0	0
ENSSSCT00000041794.1	435	120.027	0	0
ENSSSCT00000051780.2	5708	5375.33	4	0.0543511
ENSSSCT00000106884.1	393	93.5353	1.75758	1.37244
ENSSSCT00000105743.1	1053	720.328	0	0
ENSSSCT00000054823.3	1041	708.328	8.06499	0.831616
ENSSSCT00000051915.2	927	594.35	0	0
ENSSSCT00000082557.2	1282	949.328	0	0
ENSSSCT00000064112.3	1276	943.328	0	0
ENSSSCT00000100226.1	1183	850.328	14.38	1.23517
