target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	55.7504	0	0
ENSSSCT00000078200.1	291	55.7504	0	0
ENSSSCT00000070967.1	291	55.7504	0	0
ENSSSCT00000038066.2	288	54.7675	0	0
ENSSSCT00000060400.2	285	53.6997	0	0
ENSSSCT00000032004.3	300	59.2554	0	0
ENSSSCT00000069631.1	285	53.6997	0	0
ENSSSCT00000084172.1	591	295.143	0	0
ENSSSCT00000010999.5	939	642.425	0	0
ENSSSCT00000019660.4	955	658.425	86746	9061.73
ENSSSCT00000019664.4	1042	745.403	70567	6511.46
ENSSSCT00000019670.1	1545	1248.4	834619	45983.4
ENSSSCT00000019673.1	688	391.751	173142	30399
ENSSSCT00000019675.1	204	29.0834	4497	10635.2
ENSSSCT00000019676.1	681	384.789	130705	23363.5
ENSSSCT00000019677.1	784	487.564	270817	38204.3
ENSSSCT00000019679.3	346	80.2574	8736	7486.78
ENSSSCT00000019681.2	297	58.1525	24696	29209.6
ENSSSCT00000019682.3	1378	1081.4	139613	8879.86
ENSSSCT00000019686.3	1821	1524.4	88623	3998.66
ENSSSCT00000019687.1	528	232.758	9734	2876.44
ENSSSCT00000019689.3	1140	843.403	86335	7040.76
ENSSSCT00000099167.1	918	621.445	0	0
ENSSSCT00000091307.1	939	642.425	0	0
ENSSSCT00000046204.2	939	642.425	0	0
ENSSSCT00000073435.1	240	40.7347	0	0
ENSSSCT00000072658.1	939	642.425	0	0
ENSSSCT00000102462.1	423	134.917	0	0
ENSSSCT00000040563.4	1624	1327.4	0	0
ENSSSCT00000047353.2	1143	846.403	0	0
ENSSSCT00000104769.1	1398	1101.4	0	0
ENSSSCT00000103607.1	1176	879.403	0	0
ENSSSCT00000097872.1	1125	828.403	0	0
ENSSSCT00000056752.3	3244	2947.4	67.2035	1.56827
ENSSSCT00000056762.3	3471	3174.4	85.3546	1.84941
ENSSSCT00000096492.1	924	627.445	0	0
ENSSSCT00000103627.1	1176	879.403	0	0
ENSSSCT00000100545.1	1398	1101.4	0	0
ENSSSCT00000079227.1	1398	1101.4	0	0
ENSSSCT00000080413.2	1152	855.403	0	0
ENSSSCT00000040927.2	498	203.528	0	0
ENSSSCT00000074869.2	2764	2467.4	2.02187	0.0563613
ENSSSCT00000063508.3	402	117.643	0	0
ENSSSCT00000100361.1	2163	1866.4	1.46936	0.0541488
ENSSSCT00000095067.1	900	603.445	0	0
ENSSSCT00000038958.2	2079	1782.4	0	0
ENSSSCT00000082576.1	453	161.418	1.83542	0.782079
ENSSSCT00000048930.2	2079	1782.4	0	0
ENSSSCT00000062908.2	951	654.425	0	0
ENSSSCT00000045484.3	1729	1432.4	8.19551	0.393531
ENSSSCT00000051712.3	3204	2907.4	29.8904	0.707123
ENSSSCT00000076493.1	770	473.564	0	0
ENSSSCT00000035684.4	522	226.862	0	0
ENSSSCT00000062384.1	522	226.862	0	0
ENSSSCT00000044872.1	441	150.566	0	0
ENSSSCT00000041794.1	435	145.321	0	0
ENSSSCT00000051780.2	5708	5411.4	4	0.0508414
ENSSSCT00000106884.1	393	110.688	5.35075	3.32493
ENSSSCT00000105743.1	1053	756.403	1.67968	0.152736
ENSSSCT00000054823.3	1041	744.403	13.5863	1.25534
ENSSSCT00000051915.2	927	630.445	0	0
ENSSSCT00000082557.2	1282	985.403	0	0
ENSSSCT00000064112.3	1276	979.403	0	0
ENSSSCT00000100226.1	1183	886.403	53.4736	4.14931
ENSSSCT00000062158.2	552	256.43	0	0
ENSSSCT00000013322.5	1915	1618.4	2155	91.5858
ENSSSCT00000063424.3	2634	2337.4	4	0.117705
ENSSSCT00000046322.2	4392	4095.4	276.643	4.64613
ENSSSCT00000013323.4	5089	4792.4	325.763	4.67537
ENSSSCT00000045348.2	8217	7920.4	29.5937	0.256992
ENSSSCT00000103634.1	948	651.425	0	0
ENSSSCT00000010416.5	3303	3006.4	0	0
ENSSSCT00000096504.1	3599	3302.4	0	0
ENSSSCT00000054748.3	3605	3308.4	0	0
ENSSSCT00000053874.2	987	690.403	0	0
ENSSSCT00000098136.1	519	223.934	0	0
ENSSSCT00000064380.2	372	96.0683	0	0
ENSSSCT00000033772.4	557	261.347	0	0
ENSSSCT00000014432.3	930	633.445	0	0
ENSSSCT00000095963.1	3048	2751.4	2.30028	0.0575034
ENSSSCT00000054731.3	2148	1851.4	27.1873	1.01003
ENSSSCT00000061495.2	954	657.425	0	0
ENSSSCT00000038050.2	927	630.445	0	0
ENSSSCT00000084775.1	954	657.425	0	0
ENSSSCT00000054929.3	945	648.425	0	0
ENSSSCT00000083016.1	933	636.445	0	0
ENSSSCT00000106904.1	954	657.425	0	0
ENSSSCT00000058052.3	1242	945.403	1.16386	0.0846741
ENSSSCT00000103398.1	954	657.425	0	0
ENSSSCT00000060080.3	891	594.445	0	0
ENSSSCT00000079788.1	879	582.464	0	0
ENSSSCT00000065393.1	954	657.425	0	0
ENSSSCT00000066233.1	942	645.425	0	0
ENSSSCT00000038428.3	4061	3764.4	0	0
ENSSSCT00000106722.1	4123	3826.4	8.59437	0.154487
ENSSSCT00000038613.2	933	636.445	0	0
ENSSSCT00000086017.1	6515	6218.4	5.00031	0.0553077
ENSSSCT00000094411.1	918	621.445	0	0
ENSSSCT00000093195.1	939	642.425	0	0
ENSSSCT00000060483.3	2989	2692.4	0	0
ENSSSCT00000044015.3	3606	3309.4	62.8368	1.30597
ENSSSCT00000098151.1	906	609.445	0	0
ENSSSCT00000099877.1	939	642.425	0	0
ENSSSCT00000055383.1	936	639.445	0	0
ENSSSCT00000006440.5	1159	862.403	0	0
ENSSSCT00000039853.3	3075	2778.4	0	0
ENSSSCT00000075544.1	2162	1865.4	0	0
ENSSSCT00000106739.1	918	621.445	0	0
ENSSSCT00000094696.1	1287	990.403	2858	198.481
ENSSSCT00000074527.1	936	639.445	0	0
ENSSSCT00000095412.1	936	639.445	0	0
ENSSSCT00000057638.3	1661	1364.4	13.9957	0.705538
ENSSSCT00000052749.3	2706	2409.4	31.4223	0.897007
ENSSSCT00000072436.1	1410	1113.4	0	0
ENSSSCT00000100367.1	510	215.231	4	1.27827
ENSSSCT00000064678.2	936	639.445	0	0
ENSSSCT00000097296.1	3397	3100.4	1.00299	0.0222509
ENSSSCT00000093882.1	636	339.939	0	0
ENSSSCT00000061389.3	1622	1325.4	834	43.2799
ENSSSCT00000047659.2	240	40.7347	0	0
ENSSSCT00000083630.1	936	639.445	0	0
ENSSSCT00000071514.2	1650	1353.4	34.0025	1.72803
ENSSSCT00000101381.1	777	480.564	14.8346	2.12321
