target_id	length	eff_length	est_counts	tpm
ENSSSCT00000002339.4	291	55.6853	0.5	0.575997
ENSSSCT00000078200.1	291	55.6853	0.5	0.575997
ENSSSCT00000070967.1	291	55.6853	0	0
ENSSSCT00000038066.2	288	54.8257	1	1.17006
ENSSSCT00000060400.2	285	53.9003	1	1.19014
ENSSSCT00000032004.3	300	58.4284	1	1.09791
ENSSSCT00000069631.1	285	53.9003	1	1.19014
ENSSSCT00000084172.1	591	283.531	1	0.226251
ENSSSCT00000010999.5	939	630.708	0	0
ENSSSCT00000019660.4	955	646.708	71497	7092.03
ENSSSCT00000019664.4	1042	733.683	49437	4322.5
ENSSSCT00000019670.1	1545	1236.68	789923	40974.8
ENSSSCT00000019673.1	688	380.07	145945	24632.9
ENSSSCT00000019675.1	204	30.4485	3377	7114.69
ENSSSCT00000019676.1	681	373.098	84524	14532.8
ENSSSCT00000019677.1	784	475.864	242793	32729.9
ENSSSCT00000019679.3	346	76.7227	8897	7438.93
ENSSSCT00000019681.2	297	57.5428	11071	12342
ENSSSCT00000019682.3	1378	1069.68	87953	5274.56
ENSSSCT00000019686.3	1821	1512.68	42896	1819.11
ENSSSCT00000019687.1	528	221.577	5032	1456.82
ENSSSCT00000019689.3	1140	831.683	84462	6514.7
ENSSSCT00000099167.1	918	609.708	0	0
ENSSSCT00000091307.1	939	630.708	0	0
ENSSSCT00000046204.2	939	630.708	0	0
ENSSSCT00000073435.1	240	41.4111	0	0
ENSSSCT00000072658.1	939	630.708	0	0
ENSSSCT00000102462.1	423	127.09	0	0
ENSSSCT00000040563.4	1624	1315.68	0	0
ENSSSCT00000047353.2	1143	834.683	0	0
ENSSSCT00000104769.1	1398	1089.68	0	0
ENSSSCT00000103607.1	1176	867.683	0	0
ENSSSCT00000097872.1	1125	816.683	0	0
ENSSSCT00000056752.3	3244	2935.68	0.00232712	5.08511e-05
ENSSSCT00000056762.3	3471	3162.68	101.998	2.06883
ENSSSCT00000096492.1	924	615.708	0	0
ENSSSCT00000103627.1	1176	867.683	0	0
ENSSSCT00000100545.1	1398	1089.68	0	0
ENSSSCT00000079227.1	1398	1089.68	0	0
ENSSSCT00000080413.2	1152	843.683	0	0
ENSSSCT00000040927.2	498	193.054	0	0
ENSSSCT00000074869.2	2764	2455.68	0	0
ENSSSCT00000063508.3	402	111.003	0	0
ENSSSCT00000100361.1	2163	1854.68	2	0.0691753
ENSSSCT00000095067.1	900	591.73	0	0
ENSSSCT00000038958.2	2079	1770.68	0	0
ENSSSCT00000082576.1	453	151.959	0	0
ENSSSCT00000048930.2	2079	1770.68	0	0
ENSSSCT00000062908.2	951	642.708	0	0
ENSSSCT00000045484.3	1729	1420.68	7.18741	0.324539
ENSSSCT00000051712.3	3204	2895.68	12.8836	0.285415
